SRR7127899	SRR7127900	SRR7127901	SRR7127902	SRR7127903	SRR7127904	SRR7127905	SRR7127906	SRR7127907	SRR7127908	SRR7127909	SRR7127910	SRR7127911	SRR7127912	SRR7127913	SRR7127914	SRR7127915	SRR7127916	SRR7127917	SRR7127918	SRR7127919
ENSGALG00000054818	0	0	0	1	0	4	0	0	0	0	0	0	0	0	4	1	0	5	0	11	16
ENSGALG00000053455	0	6	2	0	0	3	0	0	3	0	65	0	0	0	0	2	0	6	10	7	2
ENSGALG00000045540	114	129	110	124	108	262	98	87	205	340	381	140	76	207	274	299	171	198	173	254	240
ENSGALG00000051297	200	41	107	169	218	384	120	69	65	255	103	70	25	142	280	257	115	232	30	159	224
ENSGALG00000042023	346	443	343	330	351	636	571	1005	894	876	372	433	279	504	1289	1383	549	684	340	1364	1512
ENSGALG00000047594	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000049206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000029624	528	580	482	687	705	453	264	349	271	324	132	246	295	213	331	239	761	398	394	510	588
ENSGALG00000038527	1051	1384	1028	1347	1254	1779	2034	1706	1339	1745	1026	610	593	689	1072	1522	1272	644	1556	733	703
ENSGALG00000052679	93	111	201	120	137	155	43	69	84	155	253	128	51	72	141	98	87	120	62	107	188
ENSGALG00000046962	5	0	10	12	9	6	0	1	26	6	0	9	0	8	17	19	0	8	9	13	0
ENSGALG00000042611	533	926	319	359	362	429	650	853	475	833	44	139	39	75	382	358	578	973	249	412	349
ENSGALG00000048560	63	1	0	0	6	13	0	0	1	4	0	8	21	0	7	14	0	1	2	2	22
ENSGALG00000050315	787	617	356	526	355	1376	300	279	483	1426	659	412	405	511	955	1115	286	475	299	928	1105
ENSGALG00000048857	31	12	5	18	14	16	0	14	4	22	7	8	17	1	52	45	0	12	25	59	24
ENSGALG00000049873	130	134	230	293	227	181	149	127	221	156	229	183	82	323	842	967	130	690	75	616	674
ENSGALG00000053510	71	17	62	68	99	93	3	53	45	22	51	45	28	98	98	202	33	61	35	50	89
ENSGALG00000050833	0	0	0	4	0	1	0	0	1	0	22	1	0	0	5	6	1	3	0	4	1
ENSGALG00000051677	7	3	0	2	2	26	0	8	3	63	0	9	24	6	2	23	0	0	0	2	32
ENSGALG00000031626	17	8	0	0	0	34	0	1	0	16	49	9	0	6	17	1	0	0	7	32	49
ENSGALG00000041494	2041	2926	2655	2889	2615	3480	2483	1743	3807	5338	4366	5236	3335	4030	6587	6212	6869	6699	9013	4676	4250
ENSGALG00000039682	13	42	31	89	68	112	53	29	101	156	70	149	70	142	224	228	603	312	194	233	276
ENSGALG00000038044	327	570	349	396	384	492	302	364	374	431	355	354	364	410	358	268	519	726	517	486	464
ENSGALG00000032458	381	335	374	343	267	302	399	215	168	328	187	277	253	248	267	186	479	272	208	281	344
ENSGALG00000047768	15	7	16	0	7	9	39	36	13	5	35	3	0	19	32	27	53	39	0	24	19
ENSGALG00000035824	782	2134	1647	1362	1145	1015	2450	717	1632	1858	1596	784	979	689	1758	1845	2480	2995	1730	2068	2292
ENSGALG00000034366	16	20	0	0	0	3	15	15	0	0	4	5	0	0	2	11	0	27	37	8	15
ENSGALG00000050523	0	0	0	0	0	1	0	4	3	0	0	2	0	0	0	0	0	0	0	0	0
ENSGALG00000033919	1405	1718	1687	1488	1564	4144	1185	1371	1777	1857	1299	701	800	1121	705	850	606	704	1043	794	651
ENSGALG00000034440	0	0	0	0	0	0	0	0	16	8	13	0	0	0	0	0	0	0	0	26	0
ENSGALG00000038707	6	7	8	9	23	21	0	6	0	56	26	2	0	9	16	24	11	14	0	16	0
ENSGALG00000051055	342	355	283	324	393	961	765	441	883	1054	727	162	215	245	784	883	709	583	1115	337	510
ENSGALG00000052929	40	30	42	71	83	489	52	22	65	123	217	38	5	8	53	62	32	26	81	14	17
ENSGALG00000054904	135	198	150	170	216	646	443	185	407	549	319	86	52	93	439	561	348	317	506	112	219
ENSGALG00000053146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000051631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000054762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000053751	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000046797	2	21	3	1	0	6	0	2	0	2	3	0	0	0	6	10	1	4	0	0	0
ENSGALG00000050267	153	135	345	532	380	220	180	129	276	236	87	137	252	95	157	251	149	141	310	156	106
ENSGALG00000047194	5	0	3	3	1	17	0	3	0	0	27	1	0	0	3	0	0	5	0	0	5
