Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,sub_species,tissue,dev_stage,Age
SRR7758134,Targeted-Capture,178,1519078869,PRJNA397150,SAMN07450277,Model organism or animal,949420746,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614025,Illumina HiSeq 2000,40.70747 N 75.66738 W,MWNMVP002_155,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:56:00Z,1,MPR155,male,SRP158903,wild-caught,domesticus,liver,scrotal,
SRR7758135,Targeted-Capture,177,1512960204,PRJNA397150,SAMN07450270,Model organism or animal,930549991,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614024,Illumina HiSeq 2000,40.50319 N 75.3174 W,MWNMVP003_147,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:56:00Z,1,MPR147,male,SRP158903,wild-caught,domesticus,liver,scrotal,
SRR7758136,Targeted-Capture,180,1727968553,PRJNA397150,SAMN07450269,Model organism or animal,1067264764,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614023,Illumina HiSeq 2000,40.618763 N 75.36362 W,MWNMVP003_146,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:55:00Z,1,MPR146,female,SRP158903,wild-caught,domesticus,liver,parous,
SRR7758137,Targeted-Capture,180,1636788893,PRJNA397150,SAMN07450258,Model organism or animal,1019390426,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614022,Illumina HiSeq 2000,34.057924 N 83.473681 W,MWNMVP001_133,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:56:00Z,1,MPR133,female,SRP158903,wild-caught,domesticus,liver,pregnant,
SRR7758138,Targeted-Capture,177,2253408832,PRJNA397150,SAMN07450257,Model organism or animal,1419861041,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614021,Illumina HiSeq 2000,33.8437 N 83.33744 W,MWNMVP001_132,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:57:00Z,1,MPR132,female,SRP158903,wild-caught,domesticus,liver,parous,
SRR7758139,Targeted-Capture,178,1600788319,PRJNA397150,SAMN07450274,Model organism or animal,986117934,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614020,Illumina HiSeq 2000,40.53107 N 75.34738 W,MWNMVP001_152,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:55:00Z,1,MPR152,male,SRP158903,wild-caught,domesticus,liver,scrotal,
SRR7758140,Targeted-Capture,176,2191663240,PRJNA397150,SAMN07450273,Model organism or animal,1367583973,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614019,Illumina HiSeq 2000,40.55189 N 75.32455 W,MWNMVP001_151,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:57:00Z,1,MPR151,male,SRP158903,wild-caught,domesticus,liver,scrotal,
SRR7758141,Targeted-Capture,178,1487397117,PRJNA397150,SAMN07450276,Model organism or animal,926509149,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614018,Illumina HiSeq 2000,40.461968 N 76.08789 W,MWNMVP002_154,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:56:00Z,1,MPR154,female,SRP158903,wild-caught,domesticus,liver,parous,
SRR7758142,Targeted-Capture,176,1389638645,PRJNA397150,SAMN07450275,Model organism or animal,868452040,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614017,Illumina HiSeq 2000,40.500421 N 76.103425 W,MWNMVP002_153,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:55:00Z,1,MPR153,female,SRP158903,wild-caught,domesticus,liver,pregnant,
SRR7758143,Targeted-Capture,180,1833605454,PRJNA397150,SAMN07450252,Model organism or animal,1135934662,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4614016,Illumina HiSeq 2000,34.11877 N 83.57092 W,MWNMVP003_126,PAIRED,other,GENOMIC,Mus musculus domesticus,ILLUMINA,2018-09-08T00:00:00Z,2018-08-27T11:56:00Z,1,MPR126,male,SRP158903,wild-caught,domesticus,liver,scrotal,
