SRR306394	SRR306395	SRR306396	SRR306397	SRR306398	SRR306399	SRR306400	SRR306401	SRR306402	SRR306403	SRR306404	SRR306405	SRR306406
ENSHGLG00000026013	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSHGLG00000014182	1625	1265	1384	1006	730	740	1057	725	721	1061	2122	1335	948
ENSHGLG00000014204	1	1	2	2	0	1	0	0	1	2	0	1	0
ENSHGLG00000012655	1555	2333	2544	2071	2255	2315	4576	2356	2436	3506	2848	3939	4388
ENSHGLG00000013013	3	8	12	5	3	3	5	6	3	19	8	12	1
ENSHGLG00000013277	34	21	33	324	362	385	1531	545	544	401	74	500	1224
ENSHGLG00000013662	1	0	0	0	0	0	0	0	3	0	0	0	0
ENSHGLG00000013852	92	52	51	137	67	61	112	61	66	117	56	119	111
ENSHGLG00000017025	90	58	49	192	123	83	189	123	75	263	105	128	158
ENSHGLG00000017037	15	8	10	20	4	17	6	3	6	7	2	7	3
ENSHGLG00000026014	0	0	0	0	0	0	0	0	0	7	0	0	0
ENSHGLG00000026016	0	0	0	0	0	0	1	0	0	7	1	0	1
ENSHGLG00000026018	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000017045	1787	1950	1627	466	839	839	653	301	308	4453	1633	2141	695
ENSHGLG00000017052	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000010995	1	0	0	25	9	22	39	4	8	8	0	9	16
ENSHGLG00000026019	0	1	0	0	0	0	0	1	0	5	0	1	0
ENSHGLG00000011242	0	0	0	2	1	1	7	0	1	13	0	2	1
ENSHGLG00000026020	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000022226	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000011440	0	0	0	0	0	0	2	0	0	0	0	0	1
ENSHGLG00000026022	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000011600	0	0	3	1	0	2	3	1	1	2	1	1	0
ENSHGLG00000011885	78	52	124	106	82	144	78	74	65	579	208	142	111
ENSHGLG00000012106	19	19	20	27	6	7	12	5	8	371	268	15	17
ENSHGLG00000012253	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSHGLG00000012365	13	0	0	8	4	3	11	17	14	298	0	4	40
ENSHGLG00000021850	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000012479	27	3	0	14	5	7	1	0	1	187	12	17	3
ENSHGLG00000012644	1	0	0	1	0	0	3	0	1	4	0	1	1
ENSHGLG00000012762	122	63	93	331	97	138	406	182	179	279	80	133	279
ENSHGLG00000012955	2	3	1	7	0	5	28	5	12	25	1	6	10
ENSHGLG00000013420	3	2	3	6	2	4	7	2	1	11	1	2	5
ENSHGLG00000013558	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000025715	2	6	5	5	5	2	7	0	13	9	0	5	6
ENSHGLG00000025717	27	30	27	61	33	34	53	24	59	46	35	87	67
ENSHGLG00000013770	4	1	1	3	0	1	1	0	3	1	1	4	2
ENSHGLG00000017062	1180	1578	1607	2325	869	928	1161	1247	1385	810	854	1978	1524
ENSHGLG00000017075	218	146	155	272	192	130	150	112	103	327	187	309	191
ENSHGLG00000014226	861	589	971	1665	890	1003	875	470	690	3012	1049	1380	932
ENSHGLG00000011906	851	599	524	1420	762	474	1041	611	736	1453	1363	1685	865
ENSHGLG00000012219	132	88	99	224	96	103	228	126	152	292	95	157	248
ENSHGLG00000012431	60	34	45	25	30	26	6	6	8	70	80	65	17
ENSHGLG00000012637	63	10	14	103	72	95	211	232	270	294	12	138	380
ENSHGLG00000012760	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSHGLG00000013386	28	4	1	260	48	38	118	131	259	56	1	32	116
ENSHGLG00000017362	3367	2210	2045	3554	3193	2443	2219	2659	2459	8888	3573	5475	3875
ENSHGLG00000017375	1	10	1	1	0	0	1	5	5	1	2	0	3
ENSHGLG00000019119	69	50	3	7	10	5	8	7	17	84	0	4	5
ENSHGLG00000011175	4377	2459	891	1572	773	490	858	580	921	1203	260	1017	864
ENSHGLG00000011545	118	93	45	205	83	54	2692	1995	3087	109	30	60	2796
ENSHGLG00000010981	212	121	161	336	263	229	349	844	951	420	121	351	1474
ENSHGLG00000011439	625	294	297	925	387	289	1124	634	662	1001	341	615	854
ENSHGLG00000024952	1	1	0	0	0	0	1	0	0	0	0	0	0
ENSHGLG00000025113	0	0	0	0	1	0	1	0	2	1	0	0	0
ENSHGLG00000011825	819	276	414	312	195	229	80	57	66	711	650	621	96
ENSHGLG00000025719	491	452	533	704	391	302	2289	2087	2550	687	346	399	2940
ENSHGLG00000012004	58	20	36	169	25	22	54	26	47	64	12	98	57
