FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
Multiple,18m,A10_B000235,nan,nan,nan,facs,18_53_M,A10_B000235_B007504_S10.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A10_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A10_B000497_B009023_S10.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A10_B000524,nan,nan,nan,facs,18_53_M,A10_B000524_B009242_S10.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A10_B000756,pancreatic B cell,nan,pancreatic B cell,facs,18_45_M,A10_B000756_B007446_S10.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A10_B000802,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A10_B000802_B009022_S10.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A10_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A10_B000927_B007456_S10.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A10_B001059,nan,nan,nan,facs,18_46_F,A10_B001059_B009342_S10.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A10_B001361,B cell,nan,B cell,facs,18_46_F,A10_B001361_B007505_S10.mm10-plus-0-0,female,RV,Heart
Viable,18m,A10_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A10_B002452_B009020_S10.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A10_B002831,nan,nan,nan,facs,18_47_F,A10_B002831_B007445_S10.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A10_B002832,nan,nan,nan,facs,18_47_F,A10_B002832_B007443_S10.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A10_B002850,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A10_B002850_B007342_S10.mm10-plus-0-0,female,nan,Skin
