,rho,p,adjusted_p,class
ENSGALG00000000161,0.846101040167594,0.000266486150934885,0.0103085100498966,Old-Biased
ENSGALG00000000275,0.694811450203852,0.00839183072004195,0.0661828085358082,Old-Biased
ENSGALG00000000329,0.64998490502941,0.016176556375725,0.0953410130599327,Old-Biased
ENSGALG00000000357,0.669596518543228,0.012296143425405,0.0812299649257366,Old-Biased
ENSGALG00000000364,0.717224722791073,0.00578793014072083,0.0529003332162723,Old-Biased
ENSGALG00000000424,0.865712653681412,0.00013098959963699,0.00749506115422904,Old-Biased
ENSGALG00000000469,0.64998490502941,0.016176556375725,0.0953410130599327,Old-Biased
ENSGALG00000000511,0.773257904259126,0.00193347275639267,0.0296250093469035,Old-Biased
ENSGALG00000000540,0.652786564102813,0.0155725025559562,0.0937935926972229,Old-Biased
ENSGALG00000000556,0.675199836690034,0.011329299501041,0.0776442197869227,Old-Biased
ENSGALG00000000579,0.759249608892112,0.0026110319932937,0.034394241580725,Old-Biased
ENSGALG00000000645,0.857307676461205,0.000179848639050917,0.00851645322678177,Old-Biased
ENSGALG00000000668,0.913340857929257,1.29465147193701e-05,0.00229403888237096,Old-Biased
ENSGALG00000000674,0.846101040167594,0.000266486150934885,0.0103085100498966,Old-Biased
ENSGALG00000000703,0.700414768350657,0.0076705762493653,0.0625604682075185,Old-Biased
ENSGALG00000000724,0.801274494993152,0.000992024288921391,0.0202572097362275,Old-Biased
ENSGALG00000000755,0.86291099460801,0.000145919837788065,0.00774432530405645,Old-Biased
ENSGALG00000000764,0.720026381864476,0.00551231150253608,0.0520259915522864,Old-Biased
ENSGALG00000000783,0.815282790360165,0.000682995804205645,0.0161363266774263,Old-Biased
ENSGALG00000000803,0.792206940599926,0.00124442470143124,0.0232504247787816,Old-Biased
ENSGALG00000000866,0.932952471443076,3.2808752555664e-06,0.00112246348804446,Old-Biased
ENSGALG00000000909,0.770456245185723,0.00205652368735631,0.0307806120290142,Old-Biased
ENSGALG00000000943,0.686406472983644,0.00956920215449472,0.0717102693514866,Old-Biased
ENSGALG00000001006,0.80967947221336,0.000795805749702566,0.0174539684355304,Old-Biased
ENSGALG00000001051,0.694811450203852,0.00839183072004195,0.0661828085358082,Old-Biased
ENSGALG00000001058,0.834894403873984,0.000383440723748286,0.0123533131703774,Old-Biased
ENSGALG00000001094,0.804076154066555,0.000922812210027002,0.0194587618797632,Old-Biased
ENSGALG00000001262,0.826489426653776,0.000495300880426996,0.0141334427853792,Old-Biased
ENSGALG00000001328,0.739637995378294,0.00385426713147741,0.0432071211289907,Old-Biased
ENSGALG00000001348,0.753646290745307,0.00292860721466943,0.0366025925601347,Old-Biased
ENSGALG00000001409,0.697972647262434,0.0079788536508454,0.0646830004890101,Old-Biased
ENSGALG00000001416,0.801274494993152,0.000992024288921391,0.0202572097362275,Old-Biased
