,.,class
ENSHGLG00000000038,1,Old-Biased
ENSHGLG00000000044,1,Old-Biased
ENSHGLG00000000070,1,Old-Biased
ENSHGLG00000000072,1,Old-Biased
ENSHGLG00000000084,1,Old-Biased
ENSHGLG00000000089,1,Old-Biased
ENSHGLG00000000092,1,Old-Biased
ENSHGLG00000000101,1,Old-Biased
ENSHGLG00000000119,1,Old-Biased
ENSHGLG00000000120,1,Old-Biased
ENSHGLG00000000128,1,Old-Biased
ENSHGLG00000000132,1,Old-Biased
ENSHGLG00000000133,1,Old-Biased
ENSHGLG00000000138,1,Old-Biased
ENSHGLG00000000149,1,Old-Biased
ENSHGLG00000000153,1,Old-Biased
ENSHGLG00000000158,1,Old-Biased
ENSHGLG00000000165,1,Old-Biased
ENSHGLG00000000166,1,Old-Biased
ENSHGLG00000000168,1,Old-Biased
ENSHGLG00000000169,1,Old-Biased
ENSHGLG00000000170,1,Old-Biased
ENSHGLG00000000179,1,Old-Biased
ENSHGLG00000000192,1,Old-Biased
ENSHGLG00000000193,1,Old-Biased
ENSHGLG00000000195,1,Old-Biased
ENSHGLG00000000196,1,Old-Biased
ENSHGLG00000000209,1,Old-Biased
ENSHGLG00000000226,1,Old-Biased
ENSHGLG00000000229,1,Old-Biased
ENSHGLG00000000232,1,Old-Biased
ENSHGLG00000000235,1,Old-Biased
ENSHGLG00000000273,1,Old-Biased
ENSHGLG00000000277,1,Old-Biased
ENSHGLG00000000282,1,Old-Biased
ENSHGLG00000000284,1,Old-Biased
ENSHGLG00000000285,1,Old-Biased
ENSHGLG00000000287,1,Old-Biased
ENSHGLG00000000305,1,Old-Biased
ENSHGLG00000000312,1,Old-Biased
ENSHGLG00000000314,1,Old-Biased
ENSHGLG00000000318,1,Old-Biased
ENSHGLG00000000319,1,Old-Biased
ENSHGLG00000000326,1,Old-Biased
ENSHGLG00000000327,1,Old-Biased
ENSHGLG00000000329,1,Old-Biased
ENSHGLG00000000330,1,Old-Biased
ENSHGLG00000000331,1,Old-Biased
ENSHGLG00000000342,1,Old-Biased
ENSHGLG00000000355,1,Old-Biased
ENSHGLG00000000362,1,Old-Biased
ENSHGLG00000000374,1,Old-Biased
ENSHGLG00000000376,1,Old-Biased
ENSHGLG00000000378,1,Old-Biased
ENSHGLG00000000383,1,Old-Biased
ENSHGLG00000000384,1,Old-Biased
