,rho,p,adjusted_p,class
Nfu_g_1_000048,0.505979628656515,0.00986389635924509,0.0871135018037073,Old-Biased
Nfu_g_1_000063,0.537358210278624,0.00560441418375144,0.0631787714980581,Old-Biased
Nfu_g_1_000074,0.509901951359279,0.00921691803043164,0.0841755214410572,Old-Biased
Nfu_g_1_000223,0.792309185958263,2.35622344229054e-06,0.00101512252563726,Old-Biased
Nfu_g_1_000225,0.568736791900734,0.00301107469117601,0.0443339362776568,Old-Biased
Nfu_g_1_000332,0.545202855684152,0.00482478416480447,0.0579500439867242,Old-Biased
Nfu_g_1_000351,0.670717182172589,0.000243212574757197,0.0111573768669864,Old-Biased
Nfu_g_1_000376,0.686406472983644,0.000151445884441613,0.00852657539165877,Old-Biased
Nfu_g_1_000397,0.509901951359279,0.00921691803043164,0.0841755214410572,Old-Biased
Nfu_g_1_000438,0.592270728117316,0.00181290659433958,0.0328411178122686,Old-Biased
Nfu_g_1_000442,0.819765444877609,5.33154558119886e-07,0.000528302851640995,Old-Biased
Nfu_g_1_000456,0.529513564873097,0.00648735270484073,0.0679526193998592,Old-Biased
Nfu_g_1_000476,0.694251118389172,0.000118214993862071,0.00765615930836118,Old-Biased
Nfu_g_1_000487,0.513824274062042,0.00860563584666902,0.0809812398904495,Old-Biased
Nfu_g_1_000550,0.560892146495206,0.00353693583478439,0.0483413754301773,Old-Biased
Nfu_g_1_000564,0.643260923253244,0.000523139043778044,0.0164043822303691,Old-Biased
Nfu_g_1_000583,0.545202855684152,0.00482478416480447,0.0579500439867242,Old-Biased
Nfu_g_1_000606,0.505979628656515,0.00986389635924509,0.0871135018037073,Old-Biased
Nfu_g_1_000644,0.568736791900734,0.00301107469117601,0.0443339362776568,Old-Biased
Nfu_g_1_000684,0.596193050820079,0.001659649132134,0.0311467107013557,Old-Biased
Nfu_g_1_000712,0.71386273190299,6.14647604952536e-05,0.00529612444997798,Old-Biased
Nfu_g_1_000828,0.52166891946757,0.00748405266116143,0.0742337115309796,Old-Biased
Nfu_g_1_000860,0.533435887575861,0.00603233218323054,0.0656140281049741,Old-Biased
Nfu_g_1_000862,0.64338466297224,0.00052142281334574,0.0164043822303691,Old-Biased
Nfu_g_1_000925,0.578811934754246,0.00243440655386905,0.0400042032210422,Old-Biased
Nfu_g_1_000942,0.556969823792443,0.0038278026598372,0.0503714429698895,Old-Biased
Nfu_g_1_000970,0.52166891946757,0.00748405266116143,0.0742337115309796,Old-Biased
Nfu_g_1_000996,0.615804664333898,0.00104876682722994,0.0241679778860965,Old-Biased
Nfu_g_1_000999,0.749163636227863,1.6390797733807e-05,0.00280028301283264,Old-Biased
Nfu_g_1_001042,0.706018086497463,8.0341931058616e-05,0.00603112268833201,Old-Biased
Nfu_g_1_001119,0.584426082711788,0.00215604995284382,0.0367084174960986,Old-Biased
Nfu_g_1_001141,0.604037696225607,0.00138617552898671,0.0286158610765194,Old-Biased
Nfu_g_1_001149,0.596193050820079,0.001659649132134,0.0311467107013557,Old-Biased
Nfu_g_1_001179,0.619726987036662,0.000953310684604121,0.0227075855138034,Old-Biased
Nfu_g_1_001221,0.674639504875353,0.000216614481702267,0.0107860949707928,Old-Biased
Nfu_g_1_001273,0.513824274062042,0.00860563584666902,0.0809812398904495,Old-Biased
Nfu_g_1_001279,0.627571632442189,0.000784665274296931,0.0203540528874563,Old-Biased
Nfu_g_1_001285,0.529513564873097,0.00648735270484073,0.0679526193998592,Old-Biased
Nfu_g_1_001307,0.698173441091935,0.000104143215782635,0.00702010289244987,Old-Biased
Nfu_g_1_001321,0.517746596764806,0.00802851249004288,0.0773124686723371,Old-Biased
