,rho,p,adjusted_p,class
Nfu_g_1_000030,0.647183245956007,0.000471060895674947,0.00330542730404607,Old-Biased
Nfu_g_1_000033,0.545202855684152,0.00482478416480447,0.0197269010284686,Old-Biased
Nfu_g_1_000050,0.556969823792443,0.0038278026598372,0.0165587536528298,Old-Biased
Nfu_g_1_000064,0.509901951359279,0.00921691803043164,0.0327078533542339,Old-Biased
Nfu_g_1_000074,0.75700828163339,1.18658645093926e-05,0.000201455559264774,Old-Biased
Nfu_g_1_000092,0.576581437306261,0.00255320610471823,0.0120490426122233,Old-Biased
Nfu_g_1_000094,0.525591242170333,0.00697080312704994,0.0263598447767735,Old-Biased
Nfu_g_1_000099,0.694251118389172,0.000118214993862071,0.00115364337021893,Old-Biased
Nfu_g_1_000108,0.545202855684152,0.00482478416480447,0.0197269010284686,Old-Biased
Nfu_g_1_000119,0.764852927038918,8.48639883991162e-06,0.000157866124761209,Old-Biased
Nfu_g_1_000121,0.631493955144953,0.000710487383607643,0.00451280103040986,Old-Biased
Nfu_g_1_000130,0.843299381094191,1.20567443163898e-07,8.66250868818876e-06,Old-Biased
Nfu_g_1_000168,0.827610090283137,3.32965310364923e-07,1.67581271688742e-05,Old-Biased
Nfu_g_1_000177,0.584426082711788,0.00215604995284382,0.0106301518062886,Old-Biased
Nfu_g_1_000200,0.690328795686408,0.000133928965511685,0.0012670855849698,Old-Biased
Nfu_g_1_000220,0.670717182172589,0.000243212574757197,0.00202303077073625,Old-Biased
Nfu_g_1_000225,0.651105568658771,0.000423546815197896,0.0030630683243524,Old-Biased
Nfu_g_1_000270,0.729552022714045,3.50191356928477e-05,0.000452102513534615,Old-Biased
Nfu_g_1_000351,0.541280532981388,0.00520231296397148,0.0209934607398361,Old-Biased
Nfu_g_1_000373,0.568736791900734,0.00301107469117601,0.0136760446921714,Old-Biased
Nfu_g_1_000380,0.63933860055048,0.000580143072376225,0.00389974139837985,Old-Biased
Nfu_g_1_000386,0.611882341631134,0.00115234937725538,0.00651770911322715,Old-Biased
Nfu_g_1_000392,0.647183245956007,0.000471060895674947,0.00330542730404607,Old-Biased
Nfu_g_1_000406,0.737396668119572,2.60527164349415e-05,0.000362798712714108,Old-Biased
Nfu_g_1_000429,0.509901951359279,0.00921691803043164,0.0327078533542339,Old-Biased
Nfu_g_1_000438,0.706018086497463,8.0341931058616e-05,0.000851968178017302,Old-Biased
Nfu_g_1_000510,0.655027891361535,0.000380256222132649,0.00283051084267659,Old-Biased
Nfu_g_1_000530,0.690328795686408,0.000133928965511685,0.0012670855849698,Old-Biased
