,rho,p,adjusted_p,class
FBgn0000032,0.697269675688557,0.000217537440088422,0.0060532687110319,Old-Biased
FBgn0000071,0.643201946630044,0.000930589693330999,0.015563094298906,Old-Biased
FBgn0000083,0.583013342583775,0.00350340313477759,0.036984916834092,Old-Biased
FBgn0000153,0.507012478152469,0.0135419684203825,0.0865409066722143,Old-Biased
FBgn0000228,0.654423550774264,0.000704369803835482,0.0129818360506525,Old-Biased
FBgn0000276,0.523844884368799,0.0103008433456203,0.0738301427095185,Old-Biased
FBgn0000277,0.556999623885811,0.00576546373110839,0.0515055006338407,Old-Biased
FBgn0000278,0.618207237837414,0.00166676713438274,0.0223450266031824,Old-Biased
FBgn0000339,0.551898894729348,0.0063279327743416,0.0544728632411694,Old-Biased
FBgn0000384,0.800304404649119,4.5429945420906e-06,0.000465258843104412,Old-Biased
FBgn0000416,0.59066443631847,0.00300216401899343,0.0331740793822923,Old-Biased
FBgn0000575,0.628919904991946,0.00130623718828227,0.019195503296444,Old-Biased
FBgn0000588,0.546288092657238,0.00699868772561266,0.0579857913813479,Old-Biased
FBgn0000636,0.577912613427312,0.00387526843960724,0.0394031900502132,Old-Biased
FBgn0000715,0.641161654967459,0.000977784600856514,0.0160021618202778,Old-Biased
FBgn0001222,0.500891603164713,0.014909619656031,0.0915921430040355,Old-Biased
FBgn0001230,0.749807186000131,3.8043808305136e-05,0.00191841214062549,Old-Biased
FBgn0001297,0.711041644411008,0.000142833070870851,0.00453323874131322,Old-Biased
FBgn0001977,0.698799894435496,0.000207838103173585,0.00583238338114801,Old-Biased
FBgn0001987,0.726853904796045,8.55009595087444e-05,0.00319310726225514,Old-Biased
FBgn0002121,0.738075508940265,5.8141310469235e-05,0.00250032804416184,Old-Biased
FBgn0002521,0.618208373763373,0.00166672482719008,0.0223450266031824,Old-Biased
FBgn0002524,0.500381530249067,0.0150284947295334,0.0919858697739896,Old-Biased
FBgn0002525,0.793673456745717,6.20357434501991e-06,0.000555191959850701,Old-Biased
FBgn0002531,0.605606175624498,0.00219607834540745,0.0272891622389019,Old-Biased
FBgn0002542,0.605456550872214,0.00220313147932347,0.0272891622389019,Old-Biased
FBgn0002641,0.689618581953862,0.000272156131952377,0.00693230516619211,Old-Biased
FBgn0002891,0.568221228030031,0.00467351192451918,0.0443002552081808,Old-Biased
FBgn0002905,0.680947342387874,0.000348063068477781,0.00811656930107576,Old-Biased
FBgn0002906,0.560060061379689,0.00544846837930048,0.049519748289086,Old-Biased
FBgn0003118,0.642181800798751,0.000953937223694433,0.0157677410651923,Old-Biased
FBgn0003209,0.559549988464043,0.00550026612856671,0.0497176012021672,Old-Biased
FBgn0003231,0.581993196752483,0.00357526955786686,0.0374254244339827,Old-Biased
FBgn0003256,0.673806321568825,0.000423689745790511,0.00927077959181263,Old-Biased
FBgn0003277,0.600865894631397,0.00242906098265021,0.0289679373369114,Old-Biased
FBgn0003321,0.534556415597372,0.00859321403952893,0.0655141890012896,Old-Biased
FBgn0003328,0.685027925713045,0.000310327995531544,0.00764962359208526,Old-Biased
FBgn0003346,0.5865838529933,0.0032613691044502,0.0350253412795767,Old-Biased
FBgn0003416,0.559549988464043,0.00550026612856671,0.0497176012021672,Old-Biased
FBgn0003502,0.633510561232764,0.00117347325359707,0.0181577621514537,Old-Biased
FBgn0003716,0.765109373469521,2.1114762076995e-05,0.00123384733219334,Old-Biased
FBgn0003742,0.618208373763373,0.00166672482719008,0.0223450266031824,Old-Biased
FBgn0003748,0.844170675394705,4.12693192901948e-07,9.99925409338524e-05,Old-Biased
FBgn0003870,0.549348530151116,0.00662586105212187,0.055875470026977,Old-Biased
FBgn0003888,0.688088363206923,0.000284400822690298,0.00717065424519143,Old-Biased
FBgn0003892,0.600865894631397,0.00242906098265021,0.0289679373369114,Old-Biased
FBgn0004049,0.512623280224579,0.0123800960958726,0.0831069507686511,Old-Biased
FBgn0004167,0.599335675884458,0.00250859917828384,0.0294916263160612,Old-Biased
FBgn0004197,0.590154363402824,0.00303358173102087,0.0333727584894367,Old-Biased
FBgn0004237,0.676866759062703,0.000389701366039989,0.00881843592310079,Old-Biased
FBgn0004360,0.584177818946967,0.00342285899105623,0.0363276508730262,Old-Biased
FBgn0004368,0.644732165376983,0.000896486778196051,0.0152756426322463,Old-Biased
FBgn0004374,0.572811884270848,0.00427975462534121,0.0420525048943022,Old-Biased
FBgn0004387,0.642691873714398,0.000942201519253668,0.0156518894519497,Old-Biased
FBgn0004390,0.574342103017787,0.00415485367524887,0.041109876902313,Old-Biased
FBgn0004391,0.633510561232764,0.00117347325359707,0.0181577621514537,Old-Biased
FBgn0004394,0.52639524894703,0.0098708762116525,0.0715224538924551,Old-Biased
FBgn0004396,0.62279903000419,0.00150303684657084,0.0210298141321616,Old-Biased
FBgn0004397,0.549348530151116,0.00662586105212187,0.055875470026977,Old-Biased
FBgn0004431,0.703054178610411,0.000182817745033,0.0054050936879697,Old-Biased
FBgn0004620,0.591684582149763,0.00294015167847881,0.0326340410882777,Old-Biased
FBgn0004635,0.568221228030031,0.00467351192451918,0.0443002552081808,Old-Biased
FBgn0004657,0.70798120691713,0.000157147708396152,0.00486325649597313,Old-Biased
FBgn0004838,0.666665300749776,0.000513097118451258,0.0105749103209436,Old-Biased
FBgn0004876,0.646262384123922,0.000863460512969728,0.0147635399928422,Old-Biased
