"tissue","cell_type","odds_ratio","p_val","p_adj","bias"
"lung","bronchial smooth muscle cell",1.9478098953319,0.0113527475766946,0.0308794734086094,"old-biased"
"lung","fibroblast of lung",2.50608877149946,0.000239814444800727,0.00116481301760353,"old-biased"
"lung","vein endothelial cell",1.99130485168836,0.089550637457566,0.144986746359869,"old-biased"
"lung","adventitial cell",3.23048311985911,9.32687029825166e-05,0.000528522650234261,"old-biased"
"lung","myeloid dendritic cell",1.89949239870726,0.000927930773278759,0.00371172309311504,"old-biased"
"lung","smooth muscle cell of the pulmonary artery",2.50747027153521,0.12399968533042,0.183303882662361,"old-biased"
"lung","pulmonary interstitial fibroblast",1.66389302249483,0.394758746973753,0.479349907039557,"old-biased"
"lung","dendritic cell",1.42402247396,0.118797140736033,0.17951567933445,"old-biased"
"lung","endothelial cell of lymphatic vessel",1.53365449339569,0.402805361820293,0.480539729890876,"old-biased"
"lung","non-classical monocyte",0.799651486283465,0.815775455749256,0.853426630629991,"old-biased"
"lung","classical monocyte",2.9263227885286,0.000641393165749413,0.002907649018064,"old-biased"
"lung","B cell",1.27718777143566,0.363944547216154,0.450988572301986,"old-biased"
"lung","CD4-positive, alpha-beta T cell",1.34416032019294,0.74208312725178,0.800978613541604,"old-biased"
"lung","NK cell",1.24771824232786,0.768744396308538,0.816790921077821,"old-biased"
"lung","type II pneumocyte",1.52948353804931,0.351790359004039,0.450988572301986,"old-biased"
"lung","ciliated columnar cell of tracheobronchial tree",2.10898340330029,0.0183804070475663,0.046291395527204,"old-biased"
"lung","CD8-positive, alpha-beta T cell",2.83168481635573,1.3327594352569e-06,1.81255283194938e-05,"old-biased"
"lung","neutrophil",2.93784945968973,0.0368276540608615,0.0807832411657607,"old-biased"
"lung","leukocyte",1.95396232550473,1.29734152466289e-11,8.82192236770766e-10,"old-biased"
"lung","club cell of bronchiole",1.42878170570413,0.578982551314623,0.645423171957285,"old-biased"
"lung","pericyte cell",1.82381355535843,0.220965954320581,0.306646630485705,"old-biased"
"lung","regulatory T cell",2.15309413043668,0.0407195290491021,0.0839629318024729,"old-biased"
"lung","T cell",2.32217958617023,0.00155486967393984,0.0055647967277847,"old-biased"
"liver","mature NK T cell",2.84379119456146,1.14350144456166e-05,0.000111082997471704,"old-biased"
"liver","hepatocyte",1.92904950615749,5.39337927032332e-05,0.000407499767091095,"old-biased"
"liver","endothelial cell of hepatic sinusoid",1.13954929193083,0.565283549968988,0.640654689964853,"old-biased"
"liver","Kupffer cell",1.41553800252997,0.00355154433986135,0.0115002388147891,"old-biased"
"liver","myeloid leukocyte",1.97902890631985,6.53934469980051e-06,7.41125732644058e-05,"old-biased"
"liver","B cell",2.14681785238292,9.00838661236982e-05,0.000528522650234261,"old-biased"
"liver","neutrophil",1.81091786619369,0.0650534486423786,0.110992022999682,"old-biased"
"liver","T cell",2.31406504074568,5.4319606767261e-09,1.84686663008687e-07,"old-biased"
"liver","NK cell",1.37159705187572,0.0590638474065073,0.110559361984529,"old-biased"
"liver","CD4-positive, alpha-beta T cell",1.91734119131332,2.06252539035349e-08,4.6750575514679e-07,"old-biased"
"muscle","skeletal muscle satellite cell",2.28895656089657,0.0407467169041413,0.0839629318024729,"old-biased"
"muscle","macrophage",0.875492243550719,1,1,"old-biased"
"muscle","mesenchymal stem cell",2.09293706962518,0.0541484768929305,0.1078168703431,"old-biased"
"muscle","endothelial cell",1.46764367897237,0.466184544756625,0.546561190404318,"old-biased"
"muscle","B cell",3.33414579171861,0.0198927357534133,0.0466450355597277,"old-biased"
"muscle","T cell",2.18184353521997,0.075551253718304,0.125304518362065,"old-biased"
"brain","ependymal cell",1.77297598422962,0.0151041755625797,0.0395032283944391,"old-biased"
"brain","astrocyte",1.79941682876262,0.364770168773665,0.450988572301986,"old-biased"
"brain","oligodendrocyte",1.37408284795676,0.254627108359595,0.34629286736905,"old-biased"
"brain","endothelial cell",2.3417489492685,6.16305111560511e-05,0.000419087475861147,"old-biased"
"brain","neuron",1.97760604871386,0.00701880817161232,0.0216944979849835,"old-biased"
"brain","medium spiny neuron",0.32263143459303,0.0646267560493435,0.110992022999682,"old-biased"
"brain","interneuron",1.60004981421791,0.00076532285583618,0.00325262213730376,"old-biased"
"brain","oligodendrocyte precursor cell",1.37624059142529,0.287008786824031,0.375319182769887,"old-biased"
"brain","neuronal stem cell",2.56307343514481,0.148140557054865,0.214331018717677,"old-biased"
"brain","Bergmann glial cell",2.50000664844954,0.00242807656540692,0.00825546032238353,"old-biased"
"brain","brain pericyte",1.54937939374448,0.201841738918909,0.285942463468455,"old-biased"
"brain","CD8-positive, alpha-beta T cell",1.47578769609019,0.00949277998187489,0.0268962099486455,"old-biased"
"brain","mature NK T cell",1.60420281242027,0.0652894252939306,0.110992022999682,"old-biased"
"brain","neuroepithelial cell",1.13680004936623,0.52263425469943,0.60235812406036,"old-biased"
"brain","T cell",1.91840532380495,4.21768958584541e-07,7.1700722959372e-06,"old-biased"
"skin","basal cell of epidermis",2.48969240005589,0.000215018929567189,0.00112471440081299,"old-biased"
"skin","epidermal cell",1.70189943285769,0.0554939773824778,0.1078168703431,"old-biased"
"skin","bulge keratinocyte",2.05114291605633,0.0349440406612449,0.0792064921654885,"old-biased"
"skin","keratinocyte stem cell",1.49454451066436,0.26288638450657,0.350515179342093,"old-biased"
"skin","T cell",1.79083779311405,0.00867896102347212,0.025659536938961,"old-biased"
"kidney","macrophage",1.67531096038942,0.0192427506505039,0.0466450355597277,"old-biased"
"kidney","fenestrated cell",1.6119990485541,0.095604731164545,0.151188877190443,"old-biased"
"kidney","mesangial cell",1.1840916591299,0.683671889995939,0.749833685801997,"old-biased"
"kidney","kidney loop of Henle ascending limb epithelial cell",2.60231148230094,0.0601572999033468,0.110559361984529,"old-biased"
"kidney","kidney collecting duct principal cell",0.976252000768605,1,1,"old-biased"
"kidney","epithelial cell of proximal tubule",1.77255622418718,2.32800416391266e-05,0.000197880353932576,"old-biased"
"kidney","kidney collecting duct epithelial cell",0.931116366721872,1,1,"old-biased"
"kidney","B cell",1.47081240413004,0.100792581589219,0.155770353365156,"old-biased"
"kidney","T cell",1.73302154756279,0.00119959609344191,0.00453180746411387,"old-biased"
"lung","bronchial smooth muscle cell",1.06803193880441,0.582943410082071,0.981274450641266,"young-biased"
"lung","fibroblast of lung",1.07222202874098,0.7644923025772,0.988441967731591,"young-biased"
"lung","vein endothelial cell",0.73463368513496,0.130178429522758,0.566010398682283,"young-biased"
"lung","adventitial cell",0.966567917944782,0.865779369088468,0.988441967731591,"young-biased"
"lung","myeloid dendritic cell",1.11020640791264,0.824046959634159,0.988441967731591,"young-biased"
"lung","smooth muscle cell of the pulmonary artery",0.848043263972632,0.234615780270003,0.617224119350181,"young-biased"
