ensembl_gene_id,external_gene_name,gene_age,gene_Interval,gene_branch
FBGN0003187,QUA,886,824-948,10
FBGN0261998,CG42816,3,0-6,28
FBGN0052029,CPR66D,505,480-530,17
FBGN0011476,L(3)NEO43,672,601-743,14
FBGN0028540,CG9008,1488,1480-1496,5
FBGN0264253,SEND2,22,11-34,26
FBGN0259994,OTOPLA,748,743-753,13
FBGN0035889,MKG-P,556,530-583,16
FBGN0035034,CG3565,987,952-1023,8
FBGN0037462,SUNZ,987,952-1023,8
FBGN0037461,CG15177,987,952-1023,8
FBGN0029995,CG2256,987,952-1023,8
FBGN0037460,SOWI,987,952-1023,8
FBGN0038089,D-CUP,35,34-37,25
FBGN0038302,CG4210,1488,1480-1496,5
FBGN0038042,SCGBETA,886,824-948,10
FBGN0033665,ZIP48C,1488,1480-1496,5
FBGN0034247,CG6484,810,797-824,11
FBGN0028560,SUT4,810,797-824,11
FBGN0036316,CG10960,810,797-824,11
FBGN0029667,GAS8,987,952-1023,8
FBGN0039273,SHAMS,950,948-952,9
FBGN0032650,CG7094,91,50-132,23
FBGN0035877,CG7083,1488,1480-1496,5
FBGN0033366,ANCE-4,950,948-952,9
FBGN0035076,ANCE-5,950,948-952,9
FBGN0024371,E2F2,987,952-1023,8
FBGN0050000,GSTT1,>4290,>4290,0
FBGN0031117,GSTT3,>4290,>4290,0
FBGN0050005,GSTT2,>4290,>4290,0
FBGN0034566,CG9313,987,952-1023,8
FBGN0039869,CG1890,1488,1480-1496,5
FBGN0020272,MST,1488,1480-1496,5
FBGN0083983,MRPL34,592,583-601,15
FBGN0039501,TTLL6B,987,952-1023,8
FBGN0030746,CG9981,91,50-132,23
FBGN0030747,CG4301,950,948-952,9
FBGN0038017,CG4115,556,530-583,16
FBGN0031730,CG7236,987,952-1023,8
FBGN0015270,ORC2,1488,1480-1496,5
FBGN0037998,COG1,1488,1480-1496,5
FBGN0015808,SCPX,987,952-1023,8
FBGN0031645,CG3036,3,0-6,28
FBGN0030452,MFS10,987,952-1023,8
FBGN0283472,S6K,987,952-1023,8
FBGN0033188,DRAT,1488,1480-1496,5
FBGN0042179,CG18869,317,310-325,20
FBGN0030973,CG7332,987,952-1023,8
FBGN0032169,CG4709,987,952-1023,8
FBGN0035538,DOPECR,810,797-824,11
FBGN0261386,GPA2,556,530-583,16
FBGN0040038,KLHL10,886,824-948,10
FBGN0052654,SEC16,592,583-601,15
FBGN0261722,FWE,950,948-952,9
FBGN0032746,CG10470,1488,1480-1496,5
FBGN0021760,CHB,556,530-583,16
FBGN0028997,NMDYN-D7,1064,1023-1105,7
FBGN0039856,CG1774,886,824-948,10
FBGN0039855,CG1638,886,824-948,10
FBGN0031844,CG13771,886,824-948,10
FBGN0039854,CG1635,886,824-948,10
FBGN0000489,PKA-C3,>4290,>4290,0
FBGN0038672,CG6005,1064,1023-1105,7
FBGN0010808,CHCHD3,672,601-743,14
FBGN0027524,CG3909,987,952-1023,8
FBGN0011829,RET,987,952-1023,8
FBGN0034050,BUG,91,50-132,23
FBGN0026702,L(1)G0045,1488,1480-1496,5
FBGN0028743,DHIT,950,948-952,9
FBGN0037039,CG10587,3,0-6,28
FBGN0050093,COX6AL,91,50-132,23
FBGN0036830,CG14077,91,50-132,23
FBGN0263830,CG40486,886,824-948,10
FBGN0030332,CG9360,886,824-948,10
FBGN0038878,CG3301,886,824-948,10
FBGN0031775,CG9150,886,824-948,10
FBGN0030073,CG10962,886,824-948,10
FBGN0026268,ANTDH,886,824-948,10
FBGN0069973,CG40485,886,824-948,10
FBGN0036380,CG8757,886,824-948,10
FBGN0035333,CG1317,1488,1480-1496,5
FBGN0020907,SCP2,775,753-797,12
FBGN0261987,PXT,317,310-325,20
FBGN0035589,CHMP2B,91,50-132,23
FBGN0037818,CG6465,1064,1023-1105,7
FBGN0039049,CG6726,1064,1023-1105,7
FBGN0039052,CG6733,1064,1023-1105,7
FBGN0039051,CG17109,1064,1023-1105,7
FBGN0039053,CG6738,1064,1023-1105,7
FBGN0039050,CG17110,1064,1023-1105,7
FBGN0010109,DPN,950,948-952,9
FBGN0032329,ART8,556,530-583,16
FBGN0037843,CG4511,1292,1105-1480,6
FBGN0039532,MTL,987,952-1023,8
FBGN0039930,CG11077,1488,1480-1496,5
FBGN0016070,SMG,1292,1105-1480,6
FBGN0034197,CDA9,202,132-272,22
FBGN0021995,RS1,>4290,>4290,0
FBGN0035256,CG13930,987,952-1023,8
FBGN0263988,DIC61B,987,952-1023,8
FBGN0027079,VALRS,>4290,>4290,0
FBGN0027866,CG9776,886,824-948,10
FBGN0038110,CG8031,>4290,>4290,0
FBGN0040285,SCAMP,950,948-952,9
FBGN0029853,CG3781,950,948-952,9
FBGN0031069,PMP70,1064,1023-1105,7
FBGN0030311,CG11699,950,948-952,9
FBGN0260941,APP,1488,1480-1496,5
FBGN0010501,DCP-1,987,952-1023,8
FBGN0019972,DRICE,987,952-1023,8
FBGN0031413,CG9967,672,601-743,14
FBGN0035149,MED30,950,948-952,9
FBGN0010638,SEC61BETA,987,952-1023,8
FBGN0261397,DIDUM,>4290,>4290,0
FBGN0064115,GATC,202,132-272,22
FBGN0261509,HAF,950,948-952,9
FBGN0039183,DIS3,>4290,>4290,0
FBGN0263219,DSCAM4,987,952-1023,8
FBGN0031866,NLG2,1064,1023-1105,7
FBGN0039407,CG14544,>4290,>4290,0
FBGN0033341,MRGBP,987,952-1023,8
FBGN0033349,CG8243,22,11-34,26
FBGN0285944,PARA,810,797-824,11
FBGN0053526,PNUTS,987,952-1023,8
FBGN0032818,CG10628,950,948-952,9
FBGN0037838,TTLL15,987,952-1023,8
FBGN0037215,BETA-MAN,1488,1480-1496,5
FBGN0250746,PROSBETA7,>4290,>4290,0
FBGN0026086,ADAR,987,952-1023,8
FBGN0265048,CV-D,950,948-952,9
FBGN0034083,LBK,317,310-325,20
FBGN0004373,FWD,>4290,>4290,0
FBGN0038769,CG10889,950,948-952,9
FBGN0036340,SRM160,1488,1480-1496,5
FBGN0039877,MCCC1,1488,1480-1496,5
FBGN0040823,DPR6,505,480-530,17
FBGN0260995,DPR21,556,530-583,16
FBGN0038282,DPR9,556,530-583,16
FBGN0036099,CG11811,>4290,>4290,0
FBGN0035704,VPS8,1488,1480-1496,5
FBGN0016920,NOMPC,810,797-824,11
FBGN0033088,PGAP3,950,948-952,9
FBGN0042098,CG18735,775,753-797,12
FBGN0036427,CG4613,775,753-797,12
FBGN0034661,CG4386,775,753-797,12
FBGN0039272,CG11836,43,37-50,24
FBGN0031619,CG3355,775,753-797,12
FBGN0034666,CG9294,775,753-797,12
FBGN0005632,FAF,>4290,>4290,0
FBGN0040345,CG3708,22,11-34,26
FBGN0015268,NAP1,202,132-272,22
FBGN0267366,MIL,291,272-310,21
FBGN0011676,NOS,987,952-1023,8
FBGN0051116,CLC-A,1488,1480-1496,5
FBGN0260222,CG42496,91,50-132,23
FBGN0047038,ND-13B,1488,1480-1496,5
FBGN0031077,THADA,1714,1660-1768,3
FBGN0086909,CG31751,987,952-1023,8
FBGN0035608,BLANKS,1064,1023-1105,7
FBGN0035571,CG12493,1064,1023-1105,7
FBGN0028969,DELTACOP,>4290,>4290,0
FBGN0029897,RPL17,>4290,>4290,0
FBGN0023542,NMD3,>4290,>4290,0
FBGN0033451,MARC,1488,1480-1496,5
FBGN0033769,CG8768,950,948-952,9
FBGN0030089,AP-1GAMMA,>4290,>4290,0
FBGN0035240,CG33791,91,50-132,23
FBGN0010352,NC73EF,1488,1480-1496,5
FBGN0267698,PAK,1488,1480-1496,5
FBGN0014930,CG2846,1292,1105-1480,6
FBGN0053138,AGBE,1488,1480-1496,5
FBGN0032475,SFMBT,886,824-948,10
FBGN0052476,MTHL14,91,50-132,23
FBGN0039818,CG11318,202,132-272,22
FBGN0030466,CG15744,91,50-132,23
FBGN0033932,DH44-R1,91,50-132,23
FBGN0035131,MTHL9,950,948-952,9
FBGN0052475,MTHL8,950,948-952,9
FBGN0030766,MTHL1,950,948-952,9
FBGN0030437,HEC,1064,1023-1105,7
FBGN0037960,MTHL5,1064,1023-1105,7
FBGN0085437,CG34408,987,952-1023,8
FBGN0003464,SOL,1488,1480-1496,5
FBGN0261065,CPSF73,>4290,>4290,0
FBGN0004838,HRB27C,>4290,>4290,0
FBGN0015019,CCT3,>4290,>4290,0
FBGN0036911,FIBP,1064,1023-1105,7
FBGN0026402,NIPP1,987,952-1023,8
FBGN0010750,ATMS,1064,1023-1105,7
FBGN0015803,RTGEF,987,952-1023,8
FBGN0039669,ND-20L,1714,1660-1768,3
FBGN0030718,ND-20,1714,1660-1768,3
FBGN0031868,RAT1,>4290,>4290,0
FBGN0036254,CG5645,>4290,>4290,0
FBGN0031814,RETM,950,948-952,9
FBGN0262955,RPII140,>4290,>4290,0
