"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",-0.205212897047893,"ENSMUSG00000000001","young-biased"
"ENSMUST00000000058","ENSMUST00000000058",-0.316677470209182,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-1.16439105425337,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",-0.598923426812525,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",-0.49017217302815,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",0.246771143496763,"ENSMUSG00000000171","non-biased"
"ENSMUST00000000186","ENSMUST00000000186",0.420584202814103,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000187","ENSMUST00000000187",-0.640911941119588,"ENSMUSG00000000183","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",-0.249279402095035,"ENSMUSG00000000184","non-biased"
"ENSMUST00000000219","ENSMUST00000000219",0.737709052454542,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.442260686247532,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000253","ENSMUST00000000253",-0.571236009244015,"ENSMUSG00000000247","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",-0.0122955040992538,"ENSMUSG00000038257","non-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.194926583310961,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",0.573470454565308,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",0.854399364076662,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",0.926635419062067,"ENSMUSG00000000340","young-biased"
"ENSMUST00000000369","ENSMUST00000000369",-1.10246449815223,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",0.426585861653933,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",-0.768842059392138,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.810414464855215,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",0.208263200597091,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",-1.04692922272858,"ENSMUSG00000029231","young-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.883858357236598,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",-0.978514355091067,"ENSMUSG00000026315","non-biased"
"ENSMUST00000000619","ENSMUST00000000619",0.358491066720486,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",0.68186056994929,"ENSMUSG00000000627","old-biased"
"ENSMUST00000000642","ENSMUST00000000642",1.02218285490643,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",-1.13377860754959,"ENSMUSG00000000682","non-biased"
"ENSMUST00000000707","ENSMUST00000000707",1.53216083634248,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",0.99148849877775,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",-0.445062969154176,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",-0.0312924300001295,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",-0.591550124738783,"ENSMUSG00000000792","old-biased"
"ENSMUST00000000811","ENSMUST00000000811",0.537027666661929,"ENSMUSG00000000794","non-biased"
"ENSMUST00000000834","ENSMUST00000000834",0.899417116641227,"ENSMUSG00000000817","non-biased"
"ENSMUST00000000896","ENSMUST00000000896",0.229610888929645,"ENSMUSG00000000876","non-biased"
"ENSMUST00000000910","ENSMUST00000000910",-0.765736475429474,"ENSMUSG00000000889","non-biased"
"ENSMUST00000000939","ENSMUST00000000939",0.533890599980243,"ENSMUSG00000000915","non-biased"
"ENSMUST00000000940","ENSMUST00000000940",-0.820888399171619,"ENSMUSG00000000916","non-biased"
"ENSMUST00000001027","ENSMUST00000001027",-0.362031424784331,"ENSMUSG00000063558","non-biased"
"ENSMUST00000001042","ENSMUST00000001042",-1.3258363244339,"ENSMUSG00000001016","non-biased"
"ENSMUST00000001046","ENSMUST00000001046",0.471058953394387,"ENSMUSG00000001020","non-biased"
"ENSMUST00000001051","ENSMUST00000001051",0.121923742606296,"ENSMUSG00000001025","non-biased"
