"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",0.335147329476748,"ENSMUSG00000000001","young-biased"
"ENSMUST00000000058","ENSMUST00000000058",1.26227668486812,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",0.660801055352907,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",1.58624937526702,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",-1.34917242232841,"ENSMUSG00000000171","non-biased"
"ENSMUST00000000186","ENSMUST00000000186",-0.401061513287195,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000187","ENSMUST00000000187",1.03438514151796,"ENSMUSG00000000183","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",0.842888194486902,"ENSMUSG00000000184","non-biased"
"ENSMUST00000000219","ENSMUST00000000219",0.786986521919753,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.36403292855074,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",0.64998050183211,"ENSMUSG00000038257","non-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.75637237146345,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",1.13468579150689,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",0.316714674845211,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",-0.314482914968804,"ENSMUSG00000000340","young-biased"
"ENSMUST00000000369","ENSMUST00000000369",1.03438514151796,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",-0.4590226637901,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",0.200738203761363,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.0773331990507108,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",-1.03789255052357,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",0.849874193948344,"ENSMUSG00000029231","young-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.886316709311577,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",0.641313013743809,"ENSMUSG00000026315","non-biased"
"ENSMUST00000000619","ENSMUST00000000619",1.03438514151796,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",1.30698517663236,"ENSMUSG00000000627","old-biased"
"ENSMUST00000000642","ENSMUST00000000642",0.31157931768321,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",-1.03789255052357,"ENSMUSG00000000682","non-biased"
"ENSMUST00000000707","ENSMUST00000000707",0.947939479383134,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",1.16125275337032,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",1.54299462836421,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",-1.16221279954403,"ENSMUSG00000000792","old-biased"
"ENSMUST00000000811","ENSMUST00000000811",0.960092561473122,"ENSMUSG00000000794","non-biased"
"ENSMUST00000000834","ENSMUST00000000834",1.47370472973035,"ENSMUSG00000000817","non-biased"
"ENSMUST00000000896","ENSMUST00000000896",0.625276272725233,"ENSMUSG00000000876","non-biased"
"ENSMUST00000000910","ENSMUST00000000910",0.952283819123905,"ENSMUSG00000000889","non-biased"
"ENSMUST00000000939","ENSMUST00000000939",-0.263683942901978,"ENSMUSG00000000915","non-biased"
"ENSMUST00000000940","ENSMUST00000000940",0.64998050183211,"ENSMUSG00000000916","non-biased"
"ENSMUST00000001027","ENSMUST00000001027",0.616869480027001,"ENSMUSG00000063558","non-biased"
"ENSMUST00000001042","ENSMUST00000001042",1.30895988415071,"ENSMUSG00000001016","non-biased"
"ENSMUST00000001046","ENSMUST00000001046",-1.83087563005433,"ENSMUSG00000001020","non-biased"
"ENSMUST00000001079","ENSMUST00000001079",0.477904764515287,"ENSMUSG00000001052","young-biased"
"ENSMUST00000001092","ENSMUST00000001092",-0.35358643235862,"ENSMUSG00000001065","non-biased"
"ENSMUST00000001109","ENSMUST00000001109",1.13585508299802,"ENSMUSG00000001082","non-biased"
"ENSMUST00000001112","ENSMUST00000001112",0.62241106113546,"ENSMUSG00000052783","non-biased"
"ENSMUST00000001125","ENSMUST00000001125",1.5286196782569,"ENSMUSG00000001098","non-biased"
