target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	40.9628	0	0
ENSGALT00000092144.1	105	67.5614	0	0
ENSGALT00000097599.1	99	62.6786	0	0
ENSGALT00000096074.1	282	40.9628	0	0
ENSGALT00000093123.1	285	41.7283	0	0
ENSGALT00000095759.1	297	45.8532	0	0
ENSGALT00000098150.1	207	27.056	0	0
ENSGALT00000088071.2	171	23.5491	0	0
ENSGALT00000101747.1	111	70.1	0	0
ENSGALT00000034018.5	285	41.7283	0	0
ENSGALT00000098775.1	282	40.9628	0	0
ENSGALT00000105314.1	288	42.7175	0	0
ENSGALT00000103186.1	204	26.8317	0	0
ENSGALT00000095006.1	282	40.9628	0	0
ENSGALT00000093599.1	297	45.8532	0	0
ENSGALT00000106599.1	288	42.7175	0	0
ENSGALT00000106076.1	288	42.7175	0	0
ENSGALT00000092569.1	207	27.056	0	0
ENSGALT00000097506.1	282	40.9628	0	0
ENSGALT00000102408.1	174	23.0235	0	0
ENSGALT00000085358.2	261	35.7838	0	0
ENSGALT00000090665.1	207	27.056	0	0
ENSGALT00000104147.1	282	40.9628	0	0
ENSGALT00000009519.6	312	51.6613	11	6.53861
ENSGALT00000107510.1	303	48.1489	0	0
ENSGALT00000102297.1	300	47.0054	0	0
ENSGALT00000106260.1	300	47.0054	0	0
ENSGALT00000091808.1	303	48.1489	0	0
ENSGALT00000107033.1	300	47.0054	0	0
ENSGALT00000093063.1	303	48.1489	0	0
ENSGALT00000093463.1	303	48.1489	0	0
ENSGALT00000097156.1	300	47.0054	0	0
ENSGALT00000107238.1	306	49.2833	0	0
ENSGALT00000103224.1	303	48.1489	0	0
ENSGALT00000076576.2	300	47.0054	0	0
ENSGALT00000100705.1	303	48.1489	0	0
ENSGALT00000095032.1	297	45.8532	0	0
ENSGALT00000095957.1	300	47.0054	0	0
ENSGALT00000104488.1	291	43.7119	0	0
ENSGALT00000090393.1	300	47.0054	0	0
ENSGALT00000107783.1	300	47.0054	0	0
ENSGALT00000101333.1	300	47.0054	0	0
ENSGALT00000105767.1	300	47.0054	0	0
ENSGALT00000103134.1	303	48.1489	0	0
ENSGALT00000091408.1	300	47.0054	0	0
ENSGALT00000097586.1	300	47.0054	0	0
ENSGALT00000091033.1	303	48.1489	0	0
ENSGALT00000107771.1	300	47.0054	0	0
ENSGALT00000106915.1	303	48.1489	0	0
ENSGALT00000091553.1	303	48.1489	0	0
ENSGALT00000093743.1	303	48.1489	0	0
ENSGALT00000106326.1	303	48.1489	0	0
