"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",0.448532880492023,"ENSMUSG00000000001","young-biased"
"ENSMUST00000000058","ENSMUST00000000058",2.21436173567251,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-0.591550124738783,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",0.672764223527388,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",0.191462193928835,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",1.20145795618818,"ENSMUSG00000000171","non-biased"
"ENSMUST00000000186","ENSMUST00000000186",0.581729056553286,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000187","ENSMUST00000000187",-1.16439105425337,"ENSMUSG00000000183","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",0.882538961680697,"ENSMUSG00000000184","non-biased"
"ENSMUST00000000219","ENSMUST00000000219",-0.8713924938095,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",0.209025878351978,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000253","ENSMUST00000000253",-1.07993905317194,"ENSMUSG00000000247","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",0.352771374459733,"ENSMUSG00000038257","non-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.967935635976794,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",0.314793427994331,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",1.23178415564917,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",0.23697339266239,"ENSMUSG00000000340","young-biased"
"ENSMUST00000000369","ENSMUST00000000369",-0.238601846856196,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",-0.117105864165346,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",1.26175876486723,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.327152080906931,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",0.176762479078954,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",-0.474730943047044,"ENSMUSG00000029231","young-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.46652554414067,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",-1.07892016003558,"ENSMUSG00000026315","non-biased"
"ENSMUST00000000619","ENSMUST00000000619",-0.377201323869253,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",0.475917298663685,"ENSMUSG00000000627","old-biased"
"ENSMUST00000000642","ENSMUST00000000642",-0.652365766464159,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",0.236890478363651,"ENSMUSG00000000682","non-biased"
"ENSMUST00000000707","ENSMUST00000000707",-0.377492098962089,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",-0.082279490409785,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",0.18834956469736,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",1.18584216775344,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",0.335005135106184,"ENSMUSG00000000792","old-biased"
"ENSMUST00000000811","ENSMUST00000000811",0.473055968831336,"ENSMUSG00000000794","non-biased"
"ENSMUST00000000834","ENSMUST00000000834",-0.0941846875017188,"ENSMUSG00000000817","non-biased"
"ENSMUST00000000896","ENSMUST00000000896",-1.22195781267273,"ENSMUSG00000000876","non-biased"
"ENSMUST00000000910","ENSMUST00000000910",1.31857826779823,"ENSMUSG00000000889","non-biased"
"ENSMUST00000000939","ENSMUST00000000939",-0.104779483673989,"ENSMUSG00000000915","non-biased"
"ENSMUST00000000940","ENSMUST00000000940",0.753625307537415,"ENSMUSG00000000916","non-biased"
"ENSMUST00000001027","ENSMUST00000001027",0.434272947688342,"ENSMUSG00000063558","non-biased"
"ENSMUST00000001042","ENSMUST00000001042",-0.810163287715024,"ENSMUSG00000001016","non-biased"
"ENSMUST00000001046","ENSMUST00000001046",0.0264666317966108,"ENSMUSG00000001020","non-biased"
"ENSMUST00000001051","ENSMUST00000001051",-0.260421941430961,"ENSMUSG00000001025","non-biased"
"ENSMUST00000001079","ENSMUST00000001079",1.05474042221479,"ENSMUSG00000001052","young-biased"
"ENSMUST00000001092","ENSMUST00000001092",-0.0397394464181934,"ENSMUSG00000001065","non-biased"
"ENSMUST00000001109","ENSMUST00000001109",0.397758222493449,"ENSMUSG00000001082","non-biased"
"ENSMUST00000001112","ENSMUST00000001112",-0.301068165426353,"ENSMUSG00000052783","non-biased"
"ENSMUST00000001125","ENSMUST00000001125",-0.258208823426968,"ENSMUSG00000001098","non-biased"
"ENSMUST00000001166","ENSMUST00000001166",-0.54189531862063,"ENSMUSG00000001138","non-biased"
"ENSMUST00000001172","ENSMUST00000001172",-0.155648616333462,"ENSMUSG00000079610","old-biased"
"ENSMUST00000001184","ENSMUST00000001184",0.272706879556801,"ENSMUSG00000001156","young-biased"
"ENSMUST00000001185","ENSMUST00000001185",0.305475586346608,"ENSMUSG00000001157","young-biased"
"ENSMUST00000001247","ENSMUST00000001247",-1.37417585037815,"ENSMUSG00000029130","non-biased"
"ENSMUST00000001279","ENSMUST00000001279",-0.171658080349671,"ENSMUSG00000001247","non-biased"
