"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",-0.86132296095323,"ENSMUSG00000000001","young-biased"
"ENSMUST00000000058","ENSMUST00000000058",1.24487689394143,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-0.591550124738783,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",0.514786477402341,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",0.287268483840851,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",1.62231510896185,"ENSMUSG00000000171","non-biased"
"ENSMUST00000000186","ENSMUST00000000186",0.614601278674785,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000187","ENSMUST00000000187",-0.274828126421111,"ENSMUSG00000000183","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",-0.882651735317789,"ENSMUSG00000000184","non-biased"
"ENSMUST00000000219","ENSMUST00000000219",-0.367470742177541,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.94493353683433,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000253","ENSMUST00000000253",0.300698186593134,"ENSMUSG00000000247","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",0.268973938090424,"ENSMUSG00000038257","non-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.761353228926956,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",1.02282379034202,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",0.933770165975051,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",0.312605472050771,"ENSMUSG00000000340","young-biased"
"ENSMUST00000000369","ENSMUST00000000369",-0.504113929448994,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",0.261499253778156,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",-0.691821287566786,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.661295808641841,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",-0.126293940011651,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",0.592345088772172,"ENSMUSG00000029231","young-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.835710211969547,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",0.537788644347998,"ENSMUSG00000026315","non-biased"
"ENSMUST00000000619","ENSMUST00000000619",0.597274203446203,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",-0.185217827109182,"ENSMUSG00000000627","old-biased"
"ENSMUST00000000642","ENSMUST00000000642",0.970391702960726,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",1.54218114521659,"ENSMUSG00000000682","non-biased"
"ENSMUST00000000707","ENSMUST00000000707",0.388376774403837,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",1.12402453857273,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",0.550527079780801,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",-0.664473938498569,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",-1.05816133690513,"ENSMUSG00000000792","old-biased"
"ENSMUST00000000811","ENSMUST00000000811",0.268237729987085,"ENSMUSG00000000794","non-biased"
"ENSMUST00000000834","ENSMUST00000000834",0.247319992175144,"ENSMUSG00000000817","non-biased"
"ENSMUST00000000896","ENSMUST00000000896",0.0359132275074299,"ENSMUSG00000000876","non-biased"
"ENSMUST00000000910","ENSMUST00000000910",-0.304325550275971,"ENSMUSG00000000889","non-biased"
"ENSMUST00000000939","ENSMUST00000000939",0.168253841386309,"ENSMUSG00000000915","non-biased"
"ENSMUST00000000940","ENSMUST00000000940",-0.453291400710359,"ENSMUSG00000000916","non-biased"
"ENSMUST00000001027","ENSMUST00000001027",0.107884973309979,"ENSMUSG00000063558","non-biased"
"ENSMUST00000001042","ENSMUST00000001042",-0.5839065596117,"ENSMUSG00000001016","non-biased"
"ENSMUST00000001046","ENSMUST00000001046",0.703754131358643,"ENSMUSG00000001020","non-biased"
"ENSMUST00000001051","ENSMUST00000001051",-1.72330977600829,"ENSMUSG00000001025","non-biased"
"ENSMUST00000001079","ENSMUST00000001079",0.703964646608888,"ENSMUSG00000001052","young-biased"
"ENSMUST00000001092","ENSMUST00000001092",0.65470147290301,"ENSMUSG00000001065","non-biased"
"ENSMUST00000001109","ENSMUST00000001109",1.38322406422899,"ENSMUSG00000001082","non-biased"
"ENSMUST00000001112","ENSMUST00000001112",-0.431115642211549,"ENSMUSG00000052783","non-biased"
"ENSMUST00000001125","ENSMUST00000001125",-0.179346825313028,"ENSMUSG00000001098","non-biased"
"ENSMUST00000001166","ENSMUST00000001166",-0.831453157022548,"ENSMUSG00000001138","non-biased"
"ENSMUST00000001172","ENSMUST00000001172",-0.937560975369113,"ENSMUSG00000079610","old-biased"
"ENSMUST00000001184","ENSMUST00000001184",-0.139334599837489,"ENSMUSG00000001156","young-biased"
"ENSMUST00000001185","ENSMUST00000001185",0.59135474938893,"ENSMUSG00000001157","young-biased"
"ENSMUST00000001247","ENSMUST00000001247",-0.0598946759096184,"ENSMUSG00000029130","non-biased"
"ENSMUST00000001279","ENSMUST00000001279",0.286205394919772,"ENSMUSG00000001247","non-biased"
"ENSMUST00000001280","ENSMUST00000001280",0.781444905635292,"ENSMUSG00000001248","old-biased"
"ENSMUST00000001319","ENSMUST00000001319",0.728373301867237,"ENSMUSG00000001300","non-biased"
"ENSMUST00000001339","ENSMUST00000001339",0.103288690069574,"ENSMUSG00000001305","young-biased"
"ENSMUST00000001384","ENSMUST00000001384",1.68252300598376,"ENSMUSG00000001349","non-biased"
"ENSMUST00000001402","ENSMUST00000001402",-0.710972244416618,"ENSMUSG00000001366","old-biased"
"ENSMUST00000001412","ENSMUST00000001412",-0.321265241007437,"ENSMUSG00000001376","young-biased"
"ENSMUST00000001451","ENSMUST00000001451",-0.289552347586279,"ENSMUSG00000001415","non-biased"
"ENSMUST00000001452","ENSMUST00000001452",-0.597588637518524,"ENSMUSG00000001416","young-biased"
"ENSMUST00000001456","ENSMUST00000001456",-1.06243426829339,"ENSMUSG00000001420","non-biased"
"ENSMUST00000001460","ENSMUST00000001460",-0.138379612097224,"ENSMUSG00000001424","old-biased"
"ENSMUST00000001507","ENSMUST00000001507",0.14401429958799,"ENSMUSG00000001467","young-biased"
"ENSMUST00000001520","ENSMUST00000001520",0.00851516421683961,"ENSMUSG00000031967","non-biased"
"ENSMUST00000001559","ENSMUST00000001559",0.348843825607614,"ENSMUSG00000001518","non-biased"
"ENSMUST00000001562","ENSMUST00000001562",0.789378189900892,"ENSMUSG00000001521","non-biased"
"ENSMUST00000001611","ENSMUST00000001611",-0.177639313253936,"ENSMUSG00000001569","non-biased"
"ENSMUST00000001620","ENSMUST00000001620",0.470177423901743,"ENSMUSG00000027680","young-biased"
"ENSMUST00000001720","ENSMUST00000001720",1.34628377503707,"ENSMUSG00000001670","non-biased"
"ENSMUST00000001722","ENSMUST00000001722",0.898717411801654,"ENSMUSG00000001672","non-biased"
"ENSMUST00000001724","ENSMUST00000001724",0.650350747370896,"ENSMUSG00000001674","young-biased"
"ENSMUST00000001792","ENSMUST00000001792",0.0527011501044673,"ENSMUSG00000001741","non-biased"
