"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",-0.474238860876208,"ENSMUSG00000000001","young-biased"
"ENSMUST00000000058","ENSMUST00000000058",0.658804174405651,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-0.241937679301207,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",-0.133294135918485,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",0.456873024959959,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",-0.345851938163333,"ENSMUSG00000000171","non-biased"
"ENSMUST00000000186","ENSMUST00000000186",0.811193328019939,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000187","ENSMUST00000000187",-0.475684020595509,"ENSMUSG00000000183","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",0.158008343780944,"ENSMUSG00000000184","non-biased"
"ENSMUST00000000219","ENSMUST00000000219",0.00264863532218114,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.226912372870146,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000253","ENSMUST00000000253",0.0775351738624238,"ENSMUSG00000000247","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",0.217411356815899,"ENSMUSG00000038257","non-biased"
"ENSMUST00000000312","ENSMUST00000000312",1.24207717401644,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",0.32167139209619,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",2.0687344135585,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",1.13138926197008,"ENSMUSG00000000340","young-biased"
"ENSMUST00000000369","ENSMUST00000000369",0.0516654072113842,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",0.135681337167412,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",-0.0159361416302603,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.806019721057275,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",-0.647962448482039,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",0.279189517121331,"ENSMUSG00000029231","young-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.741267828558834,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",0.00231496481268995,"ENSMUSG00000026315","non-biased"
"ENSMUST00000000619","ENSMUST00000000619",0.800031079730489,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",0.654539230318252,"ENSMUSG00000000627","old-biased"
"ENSMUST00000000642","ENSMUST00000000642",1.06671435421537,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",1.24877205837623,"ENSMUSG00000000682","non-biased"
"ENSMUST00000000707","ENSMUST00000000707",0.422617812127838,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",1.38280522180314,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",0.72177359607355,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",-0.77777909407063,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",-0.844965465920619,"ENSMUSG00000000792","old-biased"
"ENSMUST00000000811","ENSMUST00000000811",1.08366171880093,"ENSMUSG00000000794","non-biased"
"ENSMUST00000000834","ENSMUST00000000834",-0.242901774670977,"ENSMUSG00000000817","non-biased"
"ENSMUST00000000896","ENSMUST00000000896",0.130015115890861,"ENSMUSG00000000876","non-biased"
"ENSMUST00000000910","ENSMUST00000000910",0.344734931006064,"ENSMUSG00000000889","non-biased"
"ENSMUST00000000939","ENSMUST00000000939",-0.435714108223088,"ENSMUSG00000000915","non-biased"
"ENSMUST00000000940","ENSMUST00000000940",-0.192053665660823,"ENSMUSG00000000916","non-biased"
"ENSMUST00000001027","ENSMUST00000001027",0.754636110771095,"ENSMUSG00000063558","non-biased"
