"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",-0.278786496894428,"ENSMUSG00000000001","non-biased"
"ENSMUST00000000058","ENSMUST00000000058",0.182001746372455,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-1.16439105425337,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",0.203798155556168,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",0.0718011864795902,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",0.930980928100459,"ENSMUSG00000000171","old-biased"
"ENSMUST00000000186","ENSMUST00000000186",-0.345414585845452,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",0.216578770368434,"ENSMUSG00000000184","young-biased"
"ENSMUST00000000219","ENSMUST00000000219",-1.19132051184097,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.877373555545547,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000253","ENSMUST00000000253",-0.390149608736747,"ENSMUSG00000000247","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",-0.133112525537258,"ENSMUSG00000038257","old-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.282777997599168,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",0.324995482342474,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",1.16900089631837,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",0.613509344966948,"ENSMUSG00000000340","non-biased"
"ENSMUST00000000369","ENSMUST00000000369",0.338309388846865,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",-0.557653028873572,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",0.824084201952813,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.595650032312249,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",-0.552988291404245,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",0.31639121435499,"ENSMUSG00000029231","old-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.5312687591588,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",0.0362000637325799,"ENSMUSG00000026315","young-biased"
"ENSMUST00000000619","ENSMUST00000000619",0.916287602324084,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",-0.143662718030535,"ENSMUSG00000000627","non-biased"
"ENSMUST00000000642","ENSMUST00000000642",0.84785130414862,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",0.105807739658372,"ENSMUSG00000000682","old-biased"
"ENSMUST00000000707","ENSMUST00000000707",0.132604396762445,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",0.939942077888287,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",0.548043211466931,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",-1.08761685211877,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",0.354655898107235,"ENSMUSG00000000792","non-biased"
"ENSMUST00000000811","ENSMUST00000000811",0.545880651464435,"ENSMUSG00000000794","non-biased"
"ENSMUST00000000834","ENSMUST00000000834",0.358904189124324,"ENSMUSG00000000817","non-biased"
"ENSMUST00000000896","ENSMUST00000000896",0.324696628824049,"ENSMUSG00000000876","non-biased"
"ENSMUST00000000910","ENSMUST00000000910",-0.569677549206954,"ENSMUSG00000000889","non-biased"
"ENSMUST00000000939","ENSMUST00000000939",-0.00326095029211959,"ENSMUSG00000000915","old-biased"
"ENSMUST00000000940","ENSMUST00000000940",-1.3136779042777,"ENSMUSG00000000916","non-biased"
"ENSMUST00000001027","ENSMUST00000001027",-0.229591490496761,"ENSMUSG00000063558","non-biased"
"ENSMUST00000001042","ENSMUST00000001042",-1.53019281032718,"ENSMUSG00000001016","non-biased"
"ENSMUST00000001046","ENSMUST00000001046",-0.409909461443079,"ENSMUSG00000001020","old-biased"
"ENSMUST00000001051","ENSMUST00000001051",-1.51283569039282,"ENSMUSG00000001025","non-biased"
"ENSMUST00000001079","ENSMUST00000001079",0.410213730594675,"ENSMUSG00000001052","young-biased"
"ENSMUST00000001092","ENSMUST00000001092",0.115657415660573,"ENSMUSG00000001065","young-biased"
"ENSMUST00000001109","ENSMUST00000001109",-0.0976723926845958,"ENSMUSG00000001082","old-biased"
"ENSMUST00000001112","ENSMUST00000001112",-0.0932154206013848,"ENSMUSG00000052783","non-biased"
"ENSMUST00000001125","ENSMUST00000001125",-0.216648132185837,"ENSMUSG00000001098","non-biased"
"ENSMUST00000001166","ENSMUST00000001166",0.39771717493504,"ENSMUSG00000001138","old-biased"
"ENSMUST00000001172","ENSMUST00000001172",-1.43935234252376,"ENSMUSG00000079610","old-biased"
"ENSMUST00000001184","ENSMUST00000001184",0.354688144415623,"ENSMUSG00000001156","young-biased"
"ENSMUST00000001185","ENSMUST00000001185",0.59400834964125,"ENSMUSG00000001157","young-biased"
"ENSMUST00000001247","ENSMUST00000001247",-0.226599312161127,"ENSMUSG00000029130","non-biased"
"ENSMUST00000001279","ENSMUST00000001279",-0.075514250726762,"ENSMUSG00000001247","non-biased"
"ENSMUST00000001280","ENSMUST00000001280",0.322076490680065,"ENSMUSG00000001248","non-biased"
"ENSMUST00000001319","ENSMUST00000001319",0.424703241992974,"ENSMUSG00000001300","non-biased"
"ENSMUST00000001339","ENSMUST00000001339",0.0629441641674971,"ENSMUSG00000001305","non-biased"
"ENSMUST00000001384","ENSMUST00000001384",1.06799640223168,"ENSMUSG00000001349","non-biased"
"ENSMUST00000001402","ENSMUST00000001402",-0.227080625607369,"ENSMUSG00000001366","non-biased"
"ENSMUST00000001412","ENSMUST00000001412",0.378331273210392,"ENSMUSG00000001376","non-biased"
"ENSMUST00000001451","ENSMUST00000001451",1.17820559465542,"ENSMUSG00000001415","non-biased"
"ENSMUST00000001452","ENSMUST00000001452",0.249416855694432,"ENSMUSG00000001416","young-biased"
"ENSMUST00000001456","ENSMUST00000001456",0.31108305728763,"ENSMUSG00000001420","non-biased"
"ENSMUST00000001460","ENSMUST00000001460",-0.501721712934579,"ENSMUSG00000001424","non-biased"
"ENSMUST00000001507","ENSMUST00000001507",-0.121734605728697,"ENSMUSG00000001467","young-biased"
"ENSMUST00000001520","ENSMUST00000001520",1.34705786017919,"ENSMUSG00000031967","non-biased"
"ENSMUST00000001559","ENSMUST00000001559",-0.487285832669098,"ENSMUSG00000001518","old-biased"
"ENSMUST00000001562","ENSMUST00000001562",0.404356022849163,"ENSMUSG00000001521","non-biased"
"ENSMUST00000001611","ENSMUST00000001611",0.690339106877593,"ENSMUSG00000001569","non-biased"
"ENSMUST00000001620","ENSMUST00000001620",0.373941843797148,"ENSMUSG00000027680","non-biased"
"ENSMUST00000001720","ENSMUST00000001720",1.5951478738896,"ENSMUSG00000001670","non-biased"
"ENSMUST00000001722","ENSMUST00000001722",-0.403327503084499,"ENSMUSG00000001672","non-biased"
"ENSMUST00000001724","ENSMUST00000001724",0.765996384867063,"ENSMUSG00000001674","young-biased"
"ENSMUST00000001792","ENSMUST00000001792",-0.701779016288053,"ENSMUSG00000001741","non-biased"
"ENSMUST00000001812","ENSMUST00000001812",-0.781121591175179,"ENSMUSG00000001761","non-biased"
"ENSMUST00000001818","ENSMUST00000001818",0.950580533779904,"ENSMUSG00000001767","young-biased"
"ENSMUST00000001824","ENSMUST00000001824",0.528441321379009,"ENSMUSG00000001773","non-biased"
"ENSMUST00000001825","ENSMUST00000001825",0.884683384084622,"ENSMUSG00000001774","young-biased"
"ENSMUST00000001854","ENSMUST00000001854",0.810164217938291,"ENSMUSG00000030495","non-biased"
"ENSMUST00000001900","ENSMUST00000001900",-0.208473547856804,"ENSMUSG00000001844","old-biased"
"ENSMUST00000001950","ENSMUST00000001950",1.69387667367783,"ENSMUSG00000025139","young-biased"
"ENSMUST00000001974","ENSMUST00000001974",0.361725151460942,"ENSMUSG00000001909","non-biased"
"ENSMUST00000001975","ENSMUST00000001975",-0.0861022457553258,"ENSMUSG00000001910","young-biased"
"ENSMUST00000001984","ENSMUST00000001984",-0.875937903497446,"ENSMUSG00000007209","non-biased"
"ENSMUST00000002008","ENSMUST00000002008",0.0683535848781893,"ENSMUSG00000001943","non-biased"
"ENSMUST00000002011","ENSMUST00000002011",0.370014357694292,"ENSMUSG00000001946","non-biased"
"ENSMUST00000002013","ENSMUST00000002013",-0.0167884501274714,"ENSMUSG00000001948","non-biased"
"ENSMUST00000002063","ENSMUST00000002063",-0.0520658896220855,"ENSMUSG00000001998","young-biased"
"ENSMUST00000002064","ENSMUST00000002064",-0.496289166039672,"ENSMUSG00000001999","non-biased"
"ENSMUST00000002100","ENSMUST00000002100",0.293623018424887,"ENSMUSG00000002032","non-biased"
"ENSMUST00000002101","ENSMUST00000002101",1.28339067396687,"ENSMUSG00000002033","non-biased"
"ENSMUST00000002180","ENSMUST00000002180",0.7303995840686,"ENSMUSG00000002111","non-biased"
"ENSMUST00000002259","ENSMUST00000002259",-0.284033633600101,"ENSMUSG00000002190","non-biased"
"ENSMUST00000002274","ENSMUST00000002274",-0.199743452197811,"ENSMUSG00000002204","non-biased"
"ENSMUST00000002275","ENSMUST00000002275",-0.786086115829451,"ENSMUSG00000002205","non-biased"
"ENSMUST00000002280","ENSMUST00000002280",0.334551733601371,"ENSMUSG00000002210","old-biased"
"ENSMUST00000002284","ENSMUST00000002284",-0.542766284809538,"ENSMUSG00000046223","old-biased"
"ENSMUST00000002291","ENSMUST00000002291",0.637462214428144,"ENSMUSG00000002221","non-biased"
"ENSMUST00000002298","ENSMUST00000002298",0.239841586799171,"ENSMUSG00000002228","non-biased"
"ENSMUST00000002305","ENSMUST00000002305",0.0914235420525379,"ENSMUSG00000042599","young-biased"
"ENSMUST00000002336","ENSMUST00000002336",0.769753522368005,"ENSMUSG00000002266","non-biased"
"ENSMUST00000002412","ENSMUST00000002412",0.576012441910348,"ENSMUSG00000002341","non-biased"
"ENSMUST00000002413","ENSMUST00000002413",0.521792211864296,"ENSMUSG00000002342","non-biased"
"ENSMUST00000002418","ENSMUST00000002418",0.645710877317083,"ENSMUSG00000002345","old-biased"
"ENSMUST00000002457","ENSMUST00000002457",0.56858193458976,"ENSMUSG00000002384","non-biased"
"ENSMUST00000002466","ENSMUST00000002466",1.33794798066989,"ENSMUSG00000002393","old-biased"
"ENSMUST00000002469","ENSMUST00000002469",1.26617144213664,"ENSMUSG00000002396","non-biased"
"ENSMUST00000002473","ENSMUST00000002473",0.874643340771296,"ENSMUSG00000031820","non-biased"
"ENSMUST00000002487","ENSMUST00000002487",-0.6225143358734,"ENSMUSG00000002413","non-biased"
"ENSMUST00000002495","ENSMUST00000002495",0.848945070506272,"ENSMUSG00000041420","non-biased"
"ENSMUST00000002502","ENSMUST00000002502",0.645819391487027,"ENSMUSG00000002428","non-biased"
"ENSMUST00000002625","ENSMUST00000002625",-0.973616978860674,"ENSMUSG00000002550","non-biased"
