ensembl_gene_id,external_gene_name,gene_age,gene_Interval,gene_branch
ENSMUSG00000095845,GM5741,101,96-105,23
ENSMUSG00000060038,DHPS,>4290,>4290,0
ENSMUSG00000020864,ANKRD40,645,615-676,14
ENSMUSG00000094091,GM21885,39,33-45,31
ENSMUSG00000020863,LUC7L3,1578,1496-1660,4
ENSMUSG00000042303,SGSM3,>4290,>4290,0
ENSMUSG00000002658,GTF2F1,987,952-1023,8
ENSMUSG00000002661,ALKBH7,987,952-1023,8
ENSMUSG00000096638,IGHV2-9,39,33-45,31
ENSMUSG00000095117,IGHV8-9,1,0-3,37
ENSMUSG00000076674,IGHV3-8,30,29-33,32
ENSMUSG00000094029,IGHV3-3,8,7-8,35
ENSMUSG00000076676,IGHV12-3,454,435-473,16
ENSMUSG00000096498,IGHV2-5,39,33-45,31
ENSMUSG00000095866,IGHV2-4,39,33-45,31
ENSMUSG00000096670,IGHV2-6,39,33-45,31
ENSMUSG00000104452,IGHV8-8,5,3-7,36
ENSMUSG00000076672,IGHV3-6,30,29-33,32
ENSMUSG00000076670,IGHV3-5,8,7-8,35
ENSMUSG00000096824,IGHV2-7,14,8-21,34
ENSMUSG00000094505,IGHV8-6,5,3-7,36
ENSMUSG00000076733,IGHV8-13,1,0-3,37
ENSMUSG00000076731,IGHV8-12,5,3-7,36
ENSMUSG00000093838,IGHV3-1,1,0-3,37
ENSMUSG00000076646,IGHV2-6-8,39,33-45,31
ENSMUSG00000102301,IGHV8-2,39,33-45,31
ENSMUSG00000096355,IGHV8-4,39,33-45,31
ENSMUSG00000096464,IGHV2-2,39,33-45,31
ENSMUSG00000103939,IGHV3-4,8,7-8,35
ENSMUSG00000095565,IGHV2-9-1,39,33-45,31
ENSMUSG00000094164,IGHV2-3,39,33-45,31
ENSMUSG00000102364,IGHV8-5,1,0-3,37
ENSMUSG00000095170,IGHV8-11,1,0-3,37
ENSMUSG00000046378,ASPHD1,168,159-177,21
ENSMUSG00000030683,SEZ6L2,454,435-473,16
ENSMUSG00000030685,KCTD13,454,435-473,16
ENSMUSG00000042606,HIRIP3,454,435-473,16
ENSMUSG00000057411,FAM173A,680,676-684,13
ENSMUSG00000118135,GM50367,680,676-684,13
ENSMUSG00000000131,XPO6,1064,1023-1105,7
ENSMUSG00000024177,NME4,544,473-615,15
ENSMUSG00000038644,POLD1,>4290,>4290,0
ENSMUSG00000003865,GYS1,1488,1480-1496,5
ENSMUSG00000038704,ASPDH,886,824-948,10
ENSMUSG00000045282,TMEM86B,1488,1480-1496,5
ENSMUSG00000063802,HSPBP1,645,615-676,14
ENSMUSG00000073838,TUFM,>4290,>4290,0
ENSMUSG00000018931,NATD1,454,435-473,16
ENSMUSG00000043284,TMEM11,987,952-1023,8
ENSMUSG00000042569,DHRS7B,645,615-676,14
ENSMUSG00000038002,CRAMP1L,950,948-952,9
ENSMUSG00000024165,JPT2,645,615-676,14
ENSMUSG00000024163,MAPK8IP3,987,952-1023,8
