ensembl_gene_id,external_gene_name,gene_age,gene_Interval,gene_branch
ENSGALG00000023122,SULT1B,987,952-1023,8
ENSGALG00000047117,,18,0-37,29
ENSGALG00000047281,,987,952-1023,8
ENSGALG00000047995,,987,952-1023,8
ENSGALG00000052980,,18,0-37,29
ENSGALG00000011287,SULT,987,952-1023,8
ENSGALG00000044026,,987,952-1023,8
ENSGALG00000011812,,680,676-684,13
ENSGALG00000029867,MROH1,645,615-676,14
ENSGALG00000007819,PDZRN3,810,797-824,11
ENSGALG00000007804,GXYLT2,810,797-824,11
ENSGALG00000007798,SHQ1,1488,1480-1496,5
ENSGALG00000054150,GPR27,645,615-676,14
ENSGALG00000002105,FOXI1,645,615-676,14
ENSGALG00000031920,FOXF2,332,312-352,19
ENSGALG00000007741,MDFIC2,332,312-352,19
ENSGALG00000007727,,382,352-413,18
ENSGALG00000027822,,1578,1496-1660,4
ENSGALG00000006982,EEF2K,1714,1660-1768,3
ENSGALG00000007008,POLR3E,>4290,>4290,0
ENSGALG00000005181,,1714,1660-1768,3
ENSGALG00000005207,SYNPO2L,645,615-676,14
ENSGALG00000005226,MYOZ1,645,615-676,14
ENSGALG00000051152,,680,676-684,13
ENSGALG00000001977,LDB3,39,37-42,28
ENSGALG00000010005,EPAS1,987,952-1023,8
ENSGALG00000006306,UROC1,987,952-1023,8
ENSGALG00000038684,EEFSEC,645,615-676,14
ENSGALG00000005931,RUVBL1,>4290,>4290,0
ENSGALG00000001945,RFT1,1714,1660-1768,3
ENSGALG00000002016,PRKCD,645,615-676,14
ENSGALG00000008546,FGD5,1488,1480-1496,5
ENSGALG00000006459,CCDC174,987,952-1023,8
ENSGALG00000028009,,645,615-676,14
ENSGALG00000008274,CRBN,987,952-1023,8
ENSGALG00000034218,,454,435-473,16
ENSGALG00000035060,FKBP11,18,0-37,29
ENSGALG00000048612,RPS26,>4290,>4290,0
ENSGALG00000036282,PRKAG1,>4290,>4290,0
ENSGALG00000003675,PRKAR1B,987,952-1023,8
ENSGALG00000003684,,>4290,>4290,0
ENSGALG00000039951,TRAP1,>4290,>4290,0
ENSGALG00000007779,ADCY9,987,952-1023,8
ENSGALG00000038325,CORO7,987,952-1023,8
ENSGALG00000038502,CCNF,987,952-1023,8
ENSGALG00000004455,USP34,645,615-676,14
ENSGALG00000029476,XPO1,1934,1768-2101,2
ENSGALG00000038549,,680,676-684,13
ENSGALG00000008812,CCT4,>4290,>4290,0
ENSGALG00000007835,PUS10,>4290,>4290,0
ENSGALG00000013765,,1578,1496-1660,4
ENSGALG00000011136,CAPN9,1714,1660-1768,3
ENSGALG00000011098,TAF5L,987,952-1023,8
ENSGALG00000011091,NUP133,1578,1496-1660,4
ENSGALG00000051645,CDC6,>4290,>4290,0
ENSGALG00000037633,WIPF2,645,615-676,14
ENSGALG00000004362,MRPL21,1714,1660-1768,3
ENSGALG00000011193,C3H6ORF120,950,948-952,9
ENSGALG00000031332,NPEPPS,1714,1660-1768,3
ENSGALG00000038109,MRPL45,810,797-824,11
ENSGALG00000053701,,544,473-615,15
ENSGALG00000050797,SOCS7,886,824-948,10
ENSGALG00000000233,SP2,544,473-615,15
ENSGALG00000047352,,1064,1023-1105,7
ENSGALG00000050204,MRPL4,18,0-37,29
ENSGALG00000038926,,18,0-37,29
ENSGALG00000052971,,>4290,>4290,0
ENSGALG00000044223,,63,47-80,26
ENSGALG00000042850,,39,37-42,28
ENSGALG00000050096,,63,47-80,26
ENSGALG00000046336,,63,47-80,26
ENSGALG00000048477,,63,47-80,26
ENSGALG00000053857,,63,47-80,26
ENSGALG00000049843,,63,47-80,26
ENSGALG00000050636,,39,37-42,28
ENSGALG00000052450,,63,47-80,26
ENSGALG00000054325,,63,47-80,26
ENSGALG00000047721,,63,47-80,26
ENSGALG00000052879,,63,47-80,26
ENSGALG00000050603,,63,47-80,26
ENSGALG00000010311,NAV3,680,676-684,13
ENSGALG00000049369,,645,615-676,14
ENSGALG00000026422,,886,824-948,10
ENSGALG00000012072,,886,824-948,10
ENSGALG00000045511,PARP9,544,473-615,15
ENSGALG00000036627,CXCR1,454,435-473,16
ENSGALG00000042929,GJC3,454,435-473,16
ENSGALG00000012260,LCT,645,615-676,14
ENSGALG00000004288,HDAC4,1934,1768-2101,2
ENSGALG00000004274,TWIST2,950,948-952,9
ENSGALG00000004272,ASB1,645,615-676,14
ENSGALG00000004236,TRAF3IP1,987,952-1023,8
ENSGALG00000007527,ADARB1,987,952-1023,8
ENSGALG00000034337,RHPN1,987,952-1023,8
ENSGALG00000010444,ATPAF1,1934,1768-2101,2
ENSGALG00000026264,MAFA,987,952-1023,8
ENSGALG00000046235,,296,280-312,20
ENSGALG00000041404,SALL3,645,615-676,14
ENSGALG00000011443,EXOC3L4,544,473-615,15
ENSGALG00000005951,VPS29L,>4290,>4290,0
ENSGALG00000047663,,645,615-676,14
ENSGALG00000035854,,18,0-37,29
ENSGALG00000016144,TMPRSS2,950,948-952,9
ENSGALG00000017163,ACAT1,>4290,>4290,0
ENSGALG00000019061,MMP1,645,615-676,14
ENSGALG00000000755,ACER3,680,676-684,13
ENSGALG00000015681,NRIP1,454,435-473,16
ENSGALG00000015693,USP25,544,473-615,15
ENSGALG00000005886,WSCD1,987,952-1023,8
