"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",-0.0655569231278268,"ENSMUSG00000000001","young-biased"
"ENSMUST00000000058","ENSMUST00000000058",0.254161301825116,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-0.896280573544488,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",-0.717478694388675,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",0.22726099101081,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",-0.0253973782915418,"ENSMUSG00000000171","non-biased"
"ENSMUST00000000186","ENSMUST00000000186",0.288495856694184,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000187","ENSMUST00000000187",-0.607153227090139,"ENSMUSG00000000183","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",0.262282985528718,"ENSMUSG00000000184","non-biased"
"ENSMUST00000000219","ENSMUST00000000219",-0.323618697813282,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.384501185548362,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000253","ENSMUST00000000253",-0.157661780869446,"ENSMUSG00000000247","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",0.0323435304467193,"ENSMUSG00000038257","non-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.729576416444187,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",0.185312986969593,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",0.530544132088897,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",0.468003937890045,"ENSMUSG00000000340","young-biased"
"ENSMUST00000000369","ENSMUST00000000369",-0.22884731244187,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",-0.601005223969196,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",-0.151911884433508,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.622199363083733,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",-0.24231307422126,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",-0.337528660354954,"ENSMUSG00000029231","young-biased"
"ENSMUST00000000505","ENSMUST00000000505",-0.767712934580094,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",0.0148612946308321,"ENSMUSG00000026315","non-biased"
"ENSMUST00000000619","ENSMUST00000000619",-0.224345198878414,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",0.985110232692813,"ENSMUSG00000000627","old-biased"
"ENSMUST00000000642","ENSMUST00000000642",0.340060383900504,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",1.94508729946624,"ENSMUSG00000000682","non-biased"
"ENSMUST00000000707","ENSMUST00000000707",0.305695124852739,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",0.720632011328983,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",-0.273829720822184,"ENSMUSG00000000759","non-biased"
"ENSMUST00000000808","ENSMUST00000000808",-0.482305253597103,"ENSMUSG00000000791","non-biased"
"ENSMUST00000000809","ENSMUST00000000809",-0.844497657169519,"ENSMUSG00000000792","old-biased"
