target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	41.7488	0	0
ENSGALT00000092144.1	105	60.9684	0	0
ENSGALT00000097599.1	99	58.9775	0	0
ENSGALT00000096074.1	282	41.7488	0	0
ENSGALT00000093123.1	285	42.3293	0	0
ENSGALT00000095759.1	297	45.3345	0	0
ENSGALT00000098150.1	207	31.5216	0	0
ENSGALT00000088071.2	171	32.9895	0	0
ENSGALT00000101747.1	111	63.2475	0	0
ENSGALT00000034018.5	285	42.3293	0	0
ENSGALT00000098775.1	282	41.7488	0	0
ENSGALT00000105314.1	288	43.101	0	0
ENSGALT00000103186.1	204	30.8956	0	0
ENSGALT00000095006.1	282	41.7488	0	0
ENSGALT00000093599.1	297	45.3345	0	0
ENSGALT00000106599.1	288	43.101	7	6.93869
ENSGALT00000106076.1	288	43.101	0	0
ENSGALT00000092569.1	207	31.5216	0	0
ENSGALT00000097506.1	282	41.7488	0	0
ENSGALT00000102408.1	174	32.664	0	0
ENSGALT00000085358.2	261	38.4488	0	0
ENSGALT00000090665.1	207	31.5216	0	0
ENSGALT00000104147.1	282	41.7488	0	0
ENSGALT00000009519.6	312	49.5061	42	36.2458
ENSGALT00000107510.1	303	46.9009	0	0
ENSGALT00000102297.1	300	46.1618	3	2.77655
ENSGALT00000106260.1	300	46.1618	0	0
ENSGALT00000091808.1	303	46.9009	0	0
ENSGALT00000107033.1	300	46.1618	0	0
ENSGALT00000093063.1	303	46.9009	0	0
ENSGALT00000093463.1	303	46.9009	0	0
ENSGALT00000097156.1	300	46.1618	0	0
ENSGALT00000107238.1	306	47.7369	0	0
ENSGALT00000103224.1	303	46.9009	0	0
ENSGALT00000076576.2	300	46.1618	0	0
ENSGALT00000100705.1	303	46.9009	0	0
ENSGALT00000095032.1	297	45.3345	0	0
ENSGALT00000095957.1	300	46.1618	0	0
ENSGALT00000104488.1	291	43.8903	0	0
ENSGALT00000090393.1	300	46.1618	0	0
ENSGALT00000107783.1	300	46.1618	0	0
ENSGALT00000101333.1	300	46.1618	0	0
