"","gene_name","longest_transcript"
"1","ENSMUSG00000096176.1","ENSMUST00000177564.1"
"2","ENSMUSG00000096749.2","ENSMUST00000196221.1"
"3","ENSMUSG00000095668.1","ENSMUST00000178537.1"
"4","ENSMUSG00000094569.1","ENSMUST00000178862.1"
"5","ENSMUSG00000094028.1","ENSMUST00000179520.1"
"6","ENSMUSG00000094552.1","ENSMUST00000179883.1"
"7","ENSMUSG00000096420.2","ENSMUST00000195858.1"
"8","ENSMUSG00000095656.1","ENSMUST00000180001.1"
"9","ENSMUSG00000094957.1","ENSMUST00000178815.1"
"10","ENSMUSG00000094057.1","ENSMUST00000177965.1"
"11","ENSMUSG00000094268.1","ENSMUST00000178909.1"
"12","ENSMUSG00000096884.1","ENSMUST00000177646.1"
"13","ENSMUSG00000096250.1","ENSMUST00000178230.1"
"14","ENSMUSG00000095592.1","ENSMUST00000178483.1"
"15","ENSMUSG00000093876.1","ENSMUST00000179262.1"
"16","ENSMUSG00000095897.1","ENSMUST00000178549.1"
"17","ENSMUSG00000103203.1","ENSMUST00000193012.1"
"18","ENSMUSG00000096396.1","ENSMUST00000179166.1"
"19","ENSMUSG00000095444.1","ENSMUST00000179560.1"
"20","ENSMUSG00000096568.1","ENSMUST00000177839.1"
"21","ENSMUSG00000076630.1","ENSMUST00000103439.1"
"22","ENSMUSG00000093818.1","ENSMUST00000180266.1"
"23","ENSMUSG00000076632.1","ENSMUST00000103441.1"
"24","ENSMUSG00000096746.3","ENSMUST00000179789.3"
"25","ENSMUSG00000095387.5","ENSMUST00000180717.2"
"26","ENSMUSG00000094023.3","ENSMUST00000178768.3"
"27","ENSMUSG00000076770.3","ENSMUST00000103580.3"
"28","ENSMUSG00000096478.3","ENSMUST00000178426.3"
"29","ENSMUSG00000095426.6","ENSMUST00000180687.2"
"30","ENSMUSG00000094792.3","ENSMUST00000103646.4"
"31","ENSMUSG00000094176.6","ENSMUST00000197754.1"
"32","ENSMUSG00000095088.3","ENSMUST00000103648.3"
"33","ENSMUSG00000105393.1","ENSMUST00000197128.1"
"34","ENSMUSG00000095689.5","ENSMUST00000181360.2"
"35","ENSMUSG00000076778.3","ENSMUST00000103588.3"
"36","ENSMUSG00000095854.4","ENSMUST00000181038.2"
"37","ENSMUSG00000096653.4","ENSMUST00000103616.4"
"38","ENSMUSG00000094914.5","ENSMUST00000199746.4"
"39","ENSMUSG00000093939.1","ENSMUST00000103592.1"
"40","ENSMUSG00000096129.2","ENSMUST00000103593.2"
"41","ENSMUSG00000095495.2","ENSMUST00000178252.2"
"42","ENSMUSG00000094607.2","ENSMUST00000177703.2"
"43","ENSMUSG00000094758.2","ENSMUST00000197954.1"
"44","ENSMUSG00000095560.2","ENSMUST00000196802.1"
"45","ENSMUSG00000105953.1","ENSMUST00000199800.1"
"46","ENSMUSG00000093953.2","ENSMUST00000196023.1"
"47","ENSMUSG00000090868.2","ENSMUST00000200548.1"
"48","ENSMUSG00000096505.2","ENSMUST00000103600.2"
"49","ENSMUSG00000096106.1","ENSMUST00000179701.1"
"50","ENSMUSG00000095756.2","ENSMUST00000178650.2"
"51","ENSMUSG00000105721.1","ENSMUST00000196756.1"
"52","ENSMUSG00000095643.2","ENSMUST00000179512.2"
"53","ENSMUSG00000076795.6","ENSMUST00000198439.4"
"54","ENSMUSG00000076796.1","ENSMUST00000103606.1"
"55","ENSMUSG00000096329.2","ENSMUST00000196079.1"
"56","ENSMUSG00000094619.2","ENSMUST00000103608.3"
"57","ENSMUSG00000095736.1","ENSMUST00000103609.1"
"58","ENSMUSG00000076800.1","ENSMUST00000103611.1"
"59","ENSMUSG00000095646.1","ENSMUST00000103612.1"
"60","ENSMUSG00000076802.3","ENSMUST00000181793.2"
"61","ENSMUSG00000105629.1","ENSMUST00000199753.1"
"62","ENSMUSG00000096055.2","ENSMUST00000198682.1"
"63","ENSMUSG00000104629.1","ENSMUST00000198359.1"
"64","ENSMUSG00000096827.2","ENSMUST00000196639.1"
"65","ENSMUSG00000094413.5","ENSMUST00000197433.4"
"66","ENSMUSG00000093813.5","ENSMUST00000198913.4"
"67","ENSMUSG00000095572.1","ENSMUST00000103618.1"
"68","ENSMUSG00000096531.2","ENSMUST00000103619.2"
"69","ENSMUSG00000096541.2","ENSMUST00000177705.2"
"70","ENSMUSG00000093915.2","ENSMUST00000179583.2"
"71","ENSMUSG00000094779.2","ENSMUST00000196941.1"
"72","ENSMUSG00000093801.2","ENSMUST00000197614.1"
"73","ENSMUSG00000104915.1","ENSMUST00000199112.1"
"74","ENSMUSG00000094877.2","ENSMUST00000197557.1"
"75","ENSMUSG00000094231.2","ENSMUST00000103626.2"
"76","ENSMUSG00000076746.3","ENSMUST00000103555.2"
"77","ENSMUSG00000076747.3","ENSMUST00000199017.1"
"78","ENSMUSG00000076744.2","ENSMUST00000103553.2"
"79","ENSMUSG00000076745.4","ENSMUST00000103554.4"
"80","ENSMUSG00000076750.6","ENSMUST00000198663.4"
"81","ENSMUSG00000076754.2","ENSMUST00000103563.2"
"82","ENSMUSG00000076755.2","ENSMUST00000103564.2"
"83","ENSMUSG00000093969.2","ENSMUST00000103627.2"
"84","ENSMUSG00000096168.1","ENSMUST00000179997.1"
"85","ENSMUSG00000095370.2","ENSMUST00000179607.2"
"86","ENSMUSG00000105080.1","ENSMUST00000178100.2"
"87","ENSMUSG00000096038.2","ENSMUST00000179580.2"
"88","ENSMUSG00000076821.3","ENSMUST00000103632.3"
"89","ENSMUSG00000076822.2","ENSMUST00000103633.1"
"90","ENSMUSG00000076823.3","ENSMUST00000196105.1"
"91","ENSMUSG00000076824.3","ENSMUST00000103652.4"
"92","ENSMUSG00000096417.2","ENSMUST00000103636.3"
