"","transcript_id","mean_tajimasD","gene_id","gene_class"
"ENSMUST00000000001","ENSMUST00000000001",1.54622936742857,"ENSMUSG00000000001","non-biased"
"ENSMUST00000000058","ENSMUST00000000058",1.25470983195157,"ENSMUSG00000000058","non-biased"
"ENSMUST00000000090","ENSMUST00000000090",-0.461106881369451,"ENSMUSG00000000088","non-biased"
"ENSMUST00000000153","ENSMUST00000000153",0.155745965093162,"ENSMUSG00000000149","non-biased"
"ENSMUST00000000171","ENSMUST00000000171",0.526508076148373,"ENSMUSG00000000167","non-biased"
"ENSMUST00000000175","ENSMUST00000000175",0.95905554517639,"ENSMUSG00000000171","old-biased"
"ENSMUST00000000186","ENSMUST00000000186",0.0807881020094954,"ENSMUSG00000000182","non-biased"
"ENSMUST00000000188","ENSMUST00000000188",-0.0594673748139355,"ENSMUSG00000000184","young-biased"
"ENSMUST00000000219","ENSMUST00000000219",0.943916656332319,"ENSMUSG00000000214","non-biased"
"ENSMUST00000000221","ENSMUST00000000221",-0.318561483357096,"ENSMUSG00000000216","non-biased"
"ENSMUST00000000275","ENSMUST00000000275",-0.648608599176874,"ENSMUSG00000038257","old-biased"
"ENSMUST00000000312","ENSMUST00000000312",0.535588745146899,"ENSMUSG00000000303","non-biased"
"ENSMUST00000000314","ENSMUST00000000314",1.5787479042857,"ENSMUSG00000000305","non-biased"
"ENSMUST00000000348","ENSMUST00000000348",1.73778288040609,"ENSMUSG00000000339","non-biased"
"ENSMUST00000000349","ENSMUST00000000349",0.751162711388981,"ENSMUSG00000000340","non-biased"
"ENSMUST00000000369","ENSMUST00000000369",-1.16221279954403,"ENSMUSG00000000359","non-biased"
"ENSMUST00000000421","ENSMUST00000000421",1.32672089385021,"ENSMUSG00000000411","non-biased"
"ENSMUST00000000449","ENSMUST00000000449",1.68709510890328,"ENSMUSG00000000439","non-biased"
"ENSMUST00000000450","ENSMUST00000000450",0.755052886003483,"ENSMUSG00000000440","non-biased"
"ENSMUST00000000466","ENSMUST00000000466",-0.965780691998289,"ENSMUSG00000028494","non-biased"
"ENSMUST00000000476","ENSMUST00000000476",0.588412578644377,"ENSMUSG00000029231","old-biased"
"ENSMUST00000000505","ENSMUST00000000505",0.980682918627791,"ENSMUSG00000029730","non-biased"
"ENSMUST00000000514","ENSMUST00000000514",-0.197836786648099,"ENSMUSG00000026315","young-biased"
"ENSMUST00000000619","ENSMUST00000000619",0.304954854686273,"ENSMUSG00000000605","non-biased"
"ENSMUST00000000641","ENSMUST00000000641",0.651621982900766,"ENSMUSG00000000627","non-biased"
"ENSMUST00000000642","ENSMUST00000000642",-0.296291247944081,"ENSMUSG00000000628","non-biased"
"ENSMUST00000000696","ENSMUST00000000696",1.0500850066996,"ENSMUSG00000000682","old-biased"
"ENSMUST00000000707","ENSMUST00000000707",0.325352042661994,"ENSMUSG00000000693","non-biased"
"ENSMUST00000000755","ENSMUST00000000755",-0.448318468698885,"ENSMUSG00000000739","non-biased"
"ENSMUST00000000776","ENSMUST00000000776",-0.448318468698885,"ENSMUSG00000000759","non-biased"
